id,model,question,entity,year,metric,segment,ground_truth,fake_value,answer_rag,confidence_rag,answer_knowledge,confidence_knowledge,answer_adversarial,confidence_adversarial,rag_accuracy,knowledge_accuracy,adversarial_correct,error
1237,llama-3.3-70b-versatile,What was the value of 'Gain Loss On Disposal Of Interest In Associate' for GSK in the year 2022?,GSK,2022,Gain Loss On Disposal Of Interest In Associate,Company_Specific_Metric,0.0,0.69,0.0,100,Not provided in the given financial statement,0,0.0,50,True,False,True,
1362,llama-3.3-70b-versatile,What was the amount reported for 'Investment Accounted For Using Equity Method' by GSK in the year 2022?,GSK,2022,Investment Accounted For Using Equity Method,Balance_Sheet,74000000.0,77553786.65,74000000.0,100,Not provided in the given financial statement,0,77553786.65,60,True,False,False,
1745,llama-3.3-70b-versatile,What was GSK's Other Operating Income Expense for the year 2023?,GSK,2023,Other Operating Income Expense,Income_Statement,-363000000.0,-411905359.12,-363000000.0,100,Not provided in the given financial statement,0,-411905359.12,100,True,False,False,
2153,llama-3.3-70b-versatile,What was the amount of Cash Flows From Used In Operating Activities Continuing Operations reported by GSK in 2024?,GSK,2024,Cash Flows From Used In Operating Activities Continuing Operations,Cash_Flow,6554000000.0,7457790069.92,6554000000.0,100,Not provided in the given financial statement,0,7457790069.92,60,True,False,False,
695,llama-3.3-70b-versatile,What was the Contingent Consideration Fair Value Movement for AstraZeneca in the year 2023?,AstraZeneca,2023,Contingent Consideration Fair Value Movement,Company_Specific_Metric,549000000.0,525319545.42,549000000.0,100,Not provided in the given financial statement,0,549000000.0,50,True,False,True,
227,llama-3.3-70b-versatile,What were AstraZeneca's Noncurrent Liabilities for the year 2022?,AstraZeneca,2022,Noncurrent Liabilities,Balance_Sheet,33132000000.0,28756285989.02,33132000000.0,100,Not provided in the given financial statement,0,28756285989.02,80,True,False,False,
2182,llama-3.3-70b-versatile,What was the amount reported by GSK for Proceeds From Sales Of Investments Accounted For Using Equity Method in the year 2024?,GSK,2024,Proceeds From Sales Of Investments Accounted For Using Equity Method,Balance_Sheet,0.0,0.84,0.0,100,Not provided in the given financial statement,0,0.84,100,True,False,False,
2075,llama-3.3-70b-versatile,What was GSK's Comprehensive Income for the year 2024?,GSK,2024,Comprehensive Income,Income_Statement,2778000000.0,3082786948.18,2778000000.0,100,Not provided in the given financial statement,0,Unknown,0,True,False,False,
689,llama-3.3-70b-versatile,What was the amount reported by AstraZeneca for Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss in the year 2021?,AstraZeneca,2021,Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss,Income_Statement,6530000000.0,6430424929.0,6530000000.0,100,1134,90,6530000000.0,50,True,False,True,
115,llama-3.3-70b-versatile,What was the Diluted Earnings Loss Per Share for AstraZeneca in the year 2020?,AstraZeneca,2020,Diluted Earnings Loss Per Share,Income_Statement,2.44,2.37,2.44,100,-0.26,90,2.44,50,True,False,True,
