name,contextRef,unitRef,decimals,value,measure,entity_identifier,entity_scheme,start_date,end_date,instant,scenario,domain
frs-bus:NameProductionSoftware,CURRENT_FY_PERIOD,,,Acorah Software Products - Accounts Production,,08948140,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,,frs-bus
frs-bus:VersionProductionSoftware,CURRENT_FY_PERIOD,,,13.6.003,,08948140,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,,frs-bus
frs-bus:AccountingStandardsApplied,CURRENT_FY_PERIOD_AccountingStandardFRS1021A,,,,,08948140,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,,frs-bus
frs-bus:CountryFormationOrIncorporation,CURRENT_FY_PERIOD_COUNTRYINCORPORATION,,,,,08948140,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,,frs-bus
frs-bus:LegalFormEntity,CURRENT_FY_PERIOD_LegalFormPrivateLimitedCompanyLtd,,,,,08948140,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,,frs-bus
frs-bus:AccountsTypeFullOrAbbreviated,CURRENT_FY_PERIOD_AccountsTypeFull,,,,,08948140,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,,frs-bus
frs-bus:AccountsStatusAuditedOrUnaudited,CURRENT_FY_PERIOD_AccountsStatusAuditExemptNoAccountantsReport,,,,,08948140,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,,frs-bus
frs-bus:EntityTradingStatus,CURRENT_FY_PERIOD,,,,,08948140,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,,frs-bus
frs-bus:ApplicableLegislation,CURRENT_FY_PERIOD_ApplicableLegislationFRS1021A,,,,,08948140,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,,frs-bus
frs-bus:EntityDormantTruefalse,CURRENT_FY_PERIOD,,,false,,08948140,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,,frs-bus
frs-bus:AccountingStandardsAppliedMatchesTaxonomyEntry-pointTruefalse,CURRENT_FY_PERIOD,,,true,,08948140,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,,frs-bus
frs-bus:StartDateForPeriodCoveredByReport,CURRENT_FY_START,,,1 April 2022,,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-bus
