name,contextRef,unitRef,decimals,value,unit_id,measure,context_id,entity_identifier,entity_scheme,start_date,end_date,instant,scenario
frs-core:PropertyPlantEquipment,CURRENT_FY_END,GBP,0,"67,499",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:PropertyPlantEquipment,PREVIOUS_FY_END,GBP,0,"6,808",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:FixedAssets,CURRENT_FY_END,GBP,0,"67,499",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:FixedAssets,PREVIOUS_FY_END,GBP,0,"6,808",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:Debtors,CURRENT_FY_END,GBP,0,"91,777",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:Debtors,PREVIOUS_FY_END,GBP,0,"57,839",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:CashBankOnHand,CURRENT_FY_END,GBP,0,"280,926",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:CashBankOnHand,PREVIOUS_FY_END,GBP,0,"366,696",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:CurrentAssets,CURRENT_FY_END,GBP,0,"372,703",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:CurrentAssets,PREVIOUS_FY_END,GBP,0,"424,535",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:Creditors,CURRENT_FY_END,GBP,0,"103,739",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:Creditors,PREVIOUS_FY_END,GBP,0,"96,601",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:NetCurrentAssetsLiabilities,CURRENT_FY_END,GBP,0,"268,964",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:NetCurrentAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"327,934",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:TotalAssetsLessCurrentLiabilities,CURRENT_FY_END,GBP,0,"336,463",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:TotalAssetsLessCurrentLiabilities,PREVIOUS_FY_END,GBP,0,"334,742",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:Creditors,CURRENT_FY_END_NonCurrent,GBP,0,"50,856",GBP,iso4217:GBP,CURRENT_FY_END_NonCurrent,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:Creditors,PREVIOUS_FY_END_NonCurrent,GBP,0,-,GBP,iso4217:GBP,PREVIOUS_FY_END_NonCurrent,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:NetAssetsLiabilities,CURRENT_FY_END,GBP,0,"285,607",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:NetAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"334,742",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:Equity,CURRENT_FY_END_ShareCapital,GBP,0,100,GBP,iso4217:GBP,CURRENT_FY_END_ShareCapital,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:Equity,PREVIOUS_FY_END_ShareCapital,GBP,0,100,GBP,iso4217:GBP,PREVIOUS_FY_END_ShareCapital,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:Equity,CURRENT_FY_END_RetainedEarningsAccumulatedLosses,GBP,0,"285,507",GBP,iso4217:GBP,CURRENT_FY_END_RetainedEarningsAccumulatedLosses,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:Equity,PREVIOUS_FY_END_RetainedEarningsAccumulatedLosses,GBP,0,"334,642",GBP,iso4217:GBP,PREVIOUS_FY_END_RetainedEarningsAccumulatedLosses,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:AverageNumberEmployeesDuringPeriod,CURRENT_FY_PERIOD,Number,0,13,Number,xbrli:pure,CURRENT_FY_PERIOD,08948140,http://www.companieshouse.gov.uk/,2024-04-01,2025-03-31,,
frs-core:AverageNumberEmployeesDuringPeriod,PREVIOUS_FY_PERIOD,Number,0,12,Number,xbrli:pure,PREVIOUS_FY_PERIOD,08948140,http://www.companieshouse.gov.uk/,2023-04-01,2024-03-31,,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START_MotorVehicles,GBP,0,-,GBP,iso4217:GBP,CURRENT_FY_START_MotorVehicles,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START_FurnitureFittings,GBP,0,"7,596",GBP,iso4217:GBP,CURRENT_FY_START_FurnitureFittings,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START_ComputerEquipment,GBP,0,"22,480",GBP,iso4217:GBP,CURRENT_FY_START_ComputerEquipment,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START,GBP,0,"30,076",GBP,iso4217:GBP,CURRENT_FY_START,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:TotalAdditionsIncludingFromBusinessCombinationsPropertyPlantEquipment,CURRENT_FY_PERIOD_MotorVehicles,GBP,0,"66,990",GBP,iso4217:GBP,CURRENT_FY_PERIOD_MotorVehicles,08948140,http://www.companieshouse.gov.uk/,2024-04-01,2025-03-31,,
frs-core:TotalAdditionsIncludingFromBusinessCombinationsPropertyPlantEquipment,CURRENT_FY_PERIOD_FurnitureFittings,GBP,0,-,GBP,iso4217:GBP,CURRENT_FY_PERIOD_FurnitureFittings,08948140,http://www.companieshouse.gov.uk/,2024-04-01,2025-03-31,,
frs-core:TotalAdditionsIncludingFromBusinessCombinationsPropertyPlantEquipment,CURRENT_FY_PERIOD_ComputerEquipment,GBP,0,"1,950",GBP,iso4217:GBP,CURRENT_FY_PERIOD_ComputerEquipment,08948140,http://www.companieshouse.gov.uk/,2024-04-01,2025-03-31,,
frs-core:TotalAdditionsIncludingFromBusinessCombinationsPropertyPlantEquipment,CURRENT_FY_PERIOD,GBP,0,"68,940",GBP,iso4217:GBP,CURRENT_FY_PERIOD,08948140,http://www.companieshouse.gov.uk/,2024-04-01,2025-03-31,,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_END_MotorVehicles,GBP,0,"66,990",GBP,iso4217:GBP,CURRENT_FY_END_MotorVehicles,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_END_FurnitureFittings,GBP,0,"7,596",GBP,iso4217:GBP,CURRENT_FY_END_FurnitureFittings,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_END_ComputerEquipment,GBP,0,"24,430",GBP,iso4217:GBP,CURRENT_FY_END_ComputerEquipment,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_END,GBP,0,"99,016",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,
frs-core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CURRENT_FY_START_MotorVehicles,GBP,0,-,GBP,iso4217:GBP,CURRENT_FY_START_MotorVehicles,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
