id,model,raw_output_rag,raw_output_knowledge,raw_output_adversarial,error
2190,openai/gpt-oss-120b,"{
  ""answer"": ""11000000.0"",
  ""confidence"": 99,
  ""reasoning"": ""The consolidated statement of cash flows for GSK in 2023 explicitly lists the amount for 'Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities' as 11000000.0.""
}",,"{
  ""source"": ""B"",
  ""answer"": ""11261254.77"",
  ""confidence"": 80,
  ""reasoning"": ""Source B provides a more precise figure (to two decimal places) compared to the rounded value in Source",
1266,openai/gpt-oss-120b,"{""answer"": ""230000000.0"", ""confidence"": 95, ""reasoning"": ""The consolidated income statement for GSK in 2020 explicitly lists 'Profit Loss From Continuing Operations Attributable To Noncontrolling Interests' as 230000000.0, which directly answers the question.""}",,"{
  ""source"": ""B"",
  ""answer"": ""249,124,620.44"",
  ""confidence"": 70,
  ""reasoning"": """,
1766,openai/gpt-oss-120b,"{
  ""answer"": ""1.216"",
  ""confidence"": 95,
  ""reasoning"": ""The consolidated income statement for GSK in 2023 explicitly lists the Basic Earnings Loss Per Share From Continuing Operations as 1.216.""
}",,,
2493,openai/gpt-oss-120b,"{""answer"": ""922000000.0"", ""confidence"": 99, ""reasoning"": ""The financial statement explicitly lists 'Current Assets Liabilities' as 922000000.0 for Hikma Pharmaceuticals in 2022, so the value is directly taken from the provided data.""}","{""answer"":""The specific value for \""Current Assets Liabilities\"" for Hikma Pharmaceuticals in 2022 is not available in the provided data."", ""confidence"":15, ""reasoning"":""The financial statement excerpt does not include a line item labeled 'Current Assets Liabilities' for Hikma Pharmaceuticals for the year 2022, and no external data",,
347,openai/gpt-oss-120b,"{
  ""answer"": ""40000000.0"",
  ""confidence"": 100,
  ""reasoning"": ""The consolidated statement of cash flows for AstraZeneca in 2020 explicitly lists the amount for 'Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities' as 40000000.0.""
}",,,
2159,openai/gpt-oss-120b,"{
  ""answer"": 6554000000.0,
  ""confidence"": 100,
  ""reasoning"": ""The consolidated statement of cash flows for GSK in 2024 lists the Cash Flows From Used In Operating Activities as 6,554,000,000.0, which directly answers the question.""
}",,"{
  ""source"": ""UNKNOWN"",
  ""answer"": ""The cash flows from used in operating activities for GSK in 2024 cannot be definitively",
43,openai/gpt-oss-120b,"{
  ""answer"": ""3916000000.0"",
  ""confidence"": 95,
  ""reasoning"": ""The consolidated income statement for AstraZeneca in 2020 explicitly lists the Profit Loss Before Tax as 3916000000.0, which directly answers the question.""
}",,,
594,openai/gpt-oss-120b,"{
  ""answer"": -33000000.0,
  ""confidence"": 95,
  ""reasoning"": ""The consolidated income statement for AstraZeneca in 2023 explicitly lists 'Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax' as -33,000,000.0.""
}",,,
3003,openai/gpt-oss-120b,"{
  ""answer"": ""2,310,000,000.0"",
  ""confidence"": 99,
  ""reasoning"": ""The consolidated balance sheet for Hikma Pharmaceuticals in 2024 lists the Equity Attributable To Owners Of Parent as 2,310,000,000.0, directly answering the question.""
}","{
  ""answer"": ""Data not available"",
  ""confidence"": 20,
  ""reasoning"": ""The financial statements for Hikma Pharmaceuticals for the year 2024 are not publicly accessible in the provided context, and a search of typical financial databases does not return the specific line item 'Equity Attributable To Owners Of Parent' for that year. Without the actual report or a reliable source, I cannot provide","{
  ""source"": ""UNKNOWN"",
  ""answer"": ""The equity attributable to owners of parent for Hikma Pharmaceuticals in 2024 cannot be definitively determined from the provided information."",
  ""confidence"": 30,
  ""reasoning"": ""Two conflicting figures are given (2",
1225,openai/gpt-oss-120b,"{
  ""answer"": -235000000.0,
  ""confidence"": 100,
  ""reasoning"": ""The consolidated income statement for GSK in 2022 lists the Other Operating Income Expense as -235000000.0, directly answering the question.""
}",,,
