id,model,raw_output_rag,raw_output_knowledge,raw_output_adversarial,error
712,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
643,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
640,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
681,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
641,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
678,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
698,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
651,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
642,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
655,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
644,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
688,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
693,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
656,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
653,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
660,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
697,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
686,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
648,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
646,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
650,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
684,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
692,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
654,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
672,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
661,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
639,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
670,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
673,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
659,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
666,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
674,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
668,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
676,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
682,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
679,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
685,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
687,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
683,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
689,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
696,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
695,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
709,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
718,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
706,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
726,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
715,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
705,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
727,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
725,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
710,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
612,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
218,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
229,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
994,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
92,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
90,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
91,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
3,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
235,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
234,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
233,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
255,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
4,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
609,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
613,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
606,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
603,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
707,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
604,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
605,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
602,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
608,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
614,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
611,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
629,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
1861,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
1854,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
607,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
610,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
616,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
702,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
694,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
703,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
704,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
700,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,
