name,contextRef,unitRef,decimals,value,unit_id,measure,context_id,entity_identifier,entity_scheme,start_date,end_date,instant,scenario
frs-core:PropertyPlantEquipment,CURRENT_FY_END,GBP,0,"6,808",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:PropertyPlantEquipment,PREVIOUS_FY_END,GBP,0,"6,425",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:FixedAssets,CURRENT_FY_END,GBP,0,"6,808",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:FixedAssets,PREVIOUS_FY_END,GBP,0,"6,425",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:Debtors,CURRENT_FY_END,GBP,0,"57,839",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:Debtors,PREVIOUS_FY_END,GBP,0,"145,228",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:CashBankOnHand,CURRENT_FY_END,GBP,0,"366,696",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:CashBankOnHand,PREVIOUS_FY_END,GBP,0,"415,684",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:CurrentAssets,CURRENT_FY_END,GBP,0,"424,535",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:CurrentAssets,PREVIOUS_FY_END,GBP,0,"560,912",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:Creditors,CURRENT_FY_END,GBP,0,"96,601",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:Creditors,PREVIOUS_FY_END,GBP,0,"252,191",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:NetCurrentAssetsLiabilities,CURRENT_FY_END,GBP,0,"327,934",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:NetCurrentAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"308,721",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:TotalAssetsLessCurrentLiabilities,CURRENT_FY_END,GBP,0,"334,742",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:TotalAssetsLessCurrentLiabilities,PREVIOUS_FY_END,GBP,0,"315,146",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:NetAssetsLiabilities,CURRENT_FY_END,GBP,0,"334,742",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:NetAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"315,146",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:Equity,CURRENT_FY_END_ShareCapital,GBP,0,100,GBP,iso4217:GBP,CURRENT_FY_END_ShareCapital,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:Equity,PREVIOUS_FY_END_ShareCapital,GBP,0,100,GBP,iso4217:GBP,PREVIOUS_FY_END_ShareCapital,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:Equity,CURRENT_FY_END_RetainedEarningsAccumulatedLosses,GBP,0,"334,642",GBP,iso4217:GBP,CURRENT_FY_END_RetainedEarningsAccumulatedLosses,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:Equity,PREVIOUS_FY_END_RetainedEarningsAccumulatedLosses,GBP,0,"315,046",GBP,iso4217:GBP,PREVIOUS_FY_END_RetainedEarningsAccumulatedLosses,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:AverageNumberEmployeesDuringPeriod,CURRENT_FY_PERIOD,Number,0,12,Number,xbrli:pure,CURRENT_FY_PERIOD,08948140,http://www.companieshouse.gov.uk/,2023-04-01,2024-03-31,,
frs-core:AverageNumberEmployeesDuringPeriod,PREVIOUS_FY_PERIOD,Number,0,15,Number,xbrli:pure,PREVIOUS_FY_PERIOD,08948140,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START_FurnitureFittings,GBP,0,"6,001",GBP,iso4217:GBP,CURRENT_FY_START_FurnitureFittings,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
