custom_id,id,entity_name,year,segment,original_metric,ground_truth_value
qa_2,2,AstraZeneca,2022,Income_Statement,Revenue From Sale Of Goods,42998000000.0
qa_3,3,AstraZeneca,2021,Income_Statement,Revenue From Sale Of Goods,36541000000.0
qa_4,4,AstraZeneca,2020,Income_Statement,Revenue From Sale Of Goods,25890000000.0
qa_5,5,AstraZeneca,2022,Company_Specific_Metric,Collaboration Revenue,1353000000.0
qa_6,6,AstraZeneca,2021,Company_Specific_Metric,Collaboration Revenue,876000000.0
qa_7,7,AstraZeneca,2020,Company_Specific_Metric,Collaboration Revenue,727000000.0
qa_8,8,AstraZeneca,2022,Income_Statement,Revenue,44351000000.0
qa_9,9,AstraZeneca,2021,Income_Statement,Revenue,37417000000.0
qa_10,10,AstraZeneca,2020,Income_Statement,Revenue,26617000000.0
qa_14,14,AstraZeneca,2022,Income_Statement,Gross Profit,31960000000.0
qa_15,15,AstraZeneca,2021,Income_Statement,Gross Profit,24980000000.0
qa_16,16,AstraZeneca,2020,Income_Statement,Gross Profit,21318000000.0
qa_20,20,AstraZeneca,2022,Income_Statement,Research And Development Expense,9762000000.0
qa_21,21,AstraZeneca,2021,Income_Statement,Research And Development Expense,9736000000.0
qa_22,22,AstraZeneca,2020,Income_Statement,Research And Development Expense,5991000000.0
qa_23,23,AstraZeneca,2022,Income_Statement,Selling General And Administrative Expense,18419000000.0
qa_24,24,AstraZeneca,2021,Income_Statement,Selling General And Administrative Expense,15234000000.0
qa_25,25,AstraZeneca,2020,Income_Statement,Selling General And Administrative Expense,11294000000.0
qa_26,26,AstraZeneca,2022,Income_Statement,Other Operating Income Expense,514000000.0
qa_27,27,AstraZeneca,2021,Income_Statement,Other Operating Income Expense,1492000000.0
qa_28,28,AstraZeneca,2020,Income_Statement,Other Operating Income Expense,1528000000.0
qa_29,29,AstraZeneca,2022,Cash_Flow,Profit Loss From Operating Activities,3757000000.0
qa_30,30,AstraZeneca,2021,Cash_Flow,Profit Loss From Operating Activities,1056000000.0
qa_31,31,AstraZeneca,2020,Cash_Flow,Profit Loss From Operating Activities,5162000000.0
qa_32,32,AstraZeneca,2022,Income_Statement,Finance Income,95000000.0
qa_33,33,AstraZeneca,2021,Income_Statement,Finance Income,43000000.0
qa_34,34,AstraZeneca,2020,Income_Statement,Finance Income,87000000.0
