name,contextRef,unitRef,decimals,value,measure,entity_identifier,entity_scheme,start_date,end_date,instant,scenario
frs-core:PropertyPlantEquipment,CURRENT_FY_END,GBP,0,"6,808",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:PropertyPlantEquipment,PREVIOUS_FY_END,GBP,0,"6,425",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:FixedAssets,CURRENT_FY_END,GBP,0,"6,808",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:FixedAssets,PREVIOUS_FY_END,GBP,0,"6,425",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:Debtors,CURRENT_FY_END,GBP,0,"57,839",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:Debtors,PREVIOUS_FY_END,GBP,0,"145,228",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:CashBankOnHand,CURRENT_FY_END,GBP,0,"366,696",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:CashBankOnHand,PREVIOUS_FY_END,GBP,0,"415,684",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:CurrentAssets,CURRENT_FY_END,GBP,0,"424,535",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:CurrentAssets,PREVIOUS_FY_END,GBP,0,"560,912",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:Creditors,CURRENT_FY_END,GBP,0,"96,601",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:Creditors,PREVIOUS_FY_END,GBP,0,"252,191",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:NetCurrentAssetsLiabilities,CURRENT_FY_END,GBP,0,"327,934",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:NetCurrentAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"308,721",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:TotalAssetsLessCurrentLiabilities,CURRENT_FY_END,GBP,0,"334,742",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:TotalAssetsLessCurrentLiabilities,PREVIOUS_FY_END,GBP,0,"315,146",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:NetAssetsLiabilities,CURRENT_FY_END,GBP,0,"334,742",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:NetAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"315,146",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:Equity,CURRENT_FY_END_ShareCapital,GBP,0,100,iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:Equity,PREVIOUS_FY_END_ShareCapital,GBP,0,100,iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:Equity,CURRENT_FY_END_RetainedEarningsAccumulatedLosses,GBP,0,"334,642",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:Equity,PREVIOUS_FY_END_RetainedEarningsAccumulatedLosses,GBP,0,"315,046",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:AverageNumberEmployeesDuringPeriod,CURRENT_FY_PERIOD,Number,0,12,xbrli:pure,08948140,http://www.companieshouse.gov.uk/,2023-04-01,2024-03-31,,
frs-core:AverageNumberEmployeesDuringPeriod,PREVIOUS_FY_PERIOD,Number,0,15,xbrli:pure,08948140,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START_FurnitureFittings,GBP,0,"6,001",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START_ComputerEquipment,GBP,0,"21,212",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START,GBP,0,"27,213",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:TotalAdditionsIncludingFromBusinessCombinationsPropertyPlantEquipment,CURRENT_FY_PERIOD_FurnitureFittings,GBP,0,"1,595",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,2023-04-01,2024-03-31,,
frs-core:TotalAdditionsIncludingFromBusinessCombinationsPropertyPlantEquipment,CURRENT_FY_PERIOD_ComputerEquipment,GBP,0,"1,268",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,2023-04-01,2024-03-31,,
frs-core:TotalAdditionsIncludingFromBusinessCombinationsPropertyPlantEquipment,CURRENT_FY_PERIOD,GBP,0,"2,863",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,2023-04-01,2024-03-31,,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_END_FurnitureFittings,GBP,0,"7,596",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_END_ComputerEquipment,GBP,0,"22,480",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_END,GBP,0,"30,076",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,
frs-core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CURRENT_FY_START_FurnitureFittings,GBP,0,"4,002",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CURRENT_FY_START_ComputerEquipment,GBP,0,"16,786",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CURRENT_FY_START,GBP,0,"20,788",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:IncreaseFromDepreciationChargeForYearPropertyPlantEquipment,CURRENT_FY_PERIOD_FurnitureFittings,GBP,0,765,iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,2023-04-01,2024-03-31,,
frs-core:IncreaseFromDepreciationChargeForYearPropertyPlantEquipment,CURRENT_FY_PERIOD_ComputerEquipment,GBP,0,"1,715",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,2023-04-01,2024-03-31,,
