id,question,entity_name,year,metric,segment,ground_truth_value,fake_value
2190,What was the amount reported by GSK for Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities in the year 2023?,GSK,2023,Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities,Cash_Flow,11000000.0,10262460.89
1266,What was the amount reported by GSK for 'Profit Loss From Continuing Operations Attributable To Noncontrolling Interests' in the year 2020?,GSK,2020,Profit Loss From Continuing Operations Attributable To Noncontrolling Interests,Income_Statement,230000000.0,225452393.45
1766,What was the Basic Earnings Loss Per Share From Continuing Operations reported by GSK in 2023?,GSK,2023,Basic Earnings Loss Per Share From Continuing Operations,Income_Statement,1.216,1.19
2493,What was the value of 'Current Assets Liabilities' for Hikma Pharmaceuticals in the year 2022?,Hikma Pharmaceuticals,2022,Current Assets Liabilities,Balance_Sheet,922000000.0,837159215.66
347,What was the amount reported by AstraZeneca for Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities in 2020?,AstraZeneca,2020,Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities,Company_Specific_Metric,40000000.0,45474245.35
2159,What was GSK's Cash Flows From Used In Operating Activities for the year 2024?,GSK,2024,Cash Flows From Used In Operating Activities,Cash_Flow,6554000000.0,6967099702.88
43,What was the Profit Loss Before Tax reported by AstraZeneca for the year 2020?,AstraZeneca,2020,Profit Loss Before Tax,Income_Statement,3916000000.0,3673664067.61
594,What was AstraZeneca's Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax for the year 2023?,AstraZeneca,2023,Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax,Income_Statement,-33000000.0,-33871874.68
3003,What was the Equity Attributable To Owners Of Parent for Hikma Pharmaceuticals in the year 2024?,Hikma Pharmaceuticals,2024,Equity Attributable To Owners Of Parent,Balance_Sheet,2310000000.0,2271077129.12
1225,What was the Other Operating Income Expense reported by GSK for the year 2022?,GSK,2022,Other Operating Income Expense,Income_Statement,-235000000.0,-230256413.61
