name,contextRef,unitRef,decimals,value,measure,entity_identifier,entity_scheme,start_date,end_date,instant,scenario
core:PropertyPlantEquipment,CurrYearEnd,GBP,0,"5,575",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2018-03-31,
core:PropertyPlantEquipment,CurrYearStart,GBP,0,"1,299",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:Debtors,CurrYearEnd,GBP,0,"166,866",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2018-03-31,
core:Debtors,CurrYearStart,GBP,0,"145,146",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:CashBankOnHand,CurrYearEnd,GBP,0,"238,389",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2018-03-31,
core:CashBankOnHand,CurrYearStart,GBP,0,"210,787",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:CurrentAssets,CurrYearEnd,GBP,0,"405,255",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2018-03-31,
core:CurrentAssets,CurrYearStart,GBP,0,"355,933",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:Creditors,CurrYearEnd_Dim003,GBP,0,"37,475",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2018-03-31,
core:Creditors,CompYearEnd_Dim004,GBP,0,"69,205",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:NetCurrentAssetsLiabilities,CurrYearEnd,GBP,0,"367,780",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2018-03-31,
core:NetCurrentAssetsLiabilities,CurrYearStart,GBP,0,"286,728",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:NetAssetsLiabilities,CurrYearEnd,GBP,0,"373,355",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2018-03-31,
core:NetAssetsLiabilities,CurrYearStart,GBP,0,"288,027",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:Equity,CurrYearEnd_Dim005,GBP,0,100,iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2018-03-31,
core:Equity,CompYearEnd_Dim006,GBP,0,100,iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:Equity,CurrYearEnd_Dim007,GBP,0,"373,255",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2018-03-31,
core:Equity,CompYearEnd_Dim008,GBP,0,"287,927",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:Equity,CurrYearEnd,GBP,0,"373,355",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2018-03-31,
core:Equity,CurrYearStart,GBP,0,"288,027",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:AverageNumberEmployeesDuringPeriod,CurrYearDuration,Pure,0,11,xbrli:pure,08948140,http://www.companieshouse.gov.uk/,2017-04-01,2018-03-31,,
core:AverageNumberEmployeesDuringPeriod,CompYearDuration,Pure,0,8,xbrli:pure,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
core:PropertyPlantEquipmentGrossCost,CurrYearStart_Dim010,GBP,0,"1,482",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:AdditionsOtherThanThroughBusinessCombinationsPropertyPlantEquipment,CurrYearDuration_Dim011,GBP,0,"5,343",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,2017-04-01,2018-03-31,,
core:PropertyPlantEquipmentGrossCost,CurrYearEnd_Dim012,GBP,0,"6,825",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2018-03-31,
core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CurrYearStart_Dim010,GBP,0,183,iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:IncreaseFromDepreciationChargeForYearPropertyPlantEquipment,CurrYearDuration_Dim011,GBP,0,"1,067",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,2017-04-01,2018-03-31,,
core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CurrYearEnd_Dim012,GBP,0,"1,250",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2018-03-31,
