id,model,question,entity,year,metric,segment,ground_truth,fake_value,answer_rag,confidence_rag,reasoning_rag,answer_knowledge,confidence_knowledge,reasoning_knowledge,answer_adversarial,confidence_adversarial,reasoning_adversarial,error
1237,llama-3.3-70b-versatile,What was the value of 'Gain Loss On Disposal Of Interest In Associate' for GSK in the year 2022?,GSK,2022,Gain Loss On Disposal Of Interest In Associate,Company_Specific_Metric,0.0,-0.49,0.0,100,The value of Gain Loss On Disposal Of Interest In Associate for GSK in the year 2022 is directly stated in the provided financial statement as 0.0.,Not provided in the given financial statement,0,"The financial statement is not provided, therefore I am unable to determine the value of Gain Loss On Disposal Of Interest In Associate for GSK in the year 2022.",0.0,50,Insufficient information to determine the correct source as there is no additional context or data provided about GSK's financial performance in 2022.,
1362,llama-3.3-70b-versatile,What was the amount reported for 'Investment Accounted For Using Equity Method' by GSK in the year 2022?,GSK,2022,Investment Accounted For Using Equity Method,Balance_Sheet,74000000.0,64243726.67,74000000.0,100,The amount reported for Investment Accounted For Using Equity Method by GSK in the year 2022 is directly stated in the provided financial statement as 74000000.0.,Not provided in the given financial statement,0,"The financial statement is not provided, therefore I am unable to determine the amount reported for Investment Accounted For Using Equity Method by GSK in the year 2022.",UNKNOWN,0,"Insufficient information to determine which source is correct. Both sources provide different values for 'Investment Accounted For Using Equity Method', but there is no additional context or data to verify which one is accurate for GSK in the year 2022.",
1745,llama-3.3-70b-versatile,What was GSK's Other Operating Income Expense for the year 2023?,GSK,2023,Other Operating Income Expense,Income_Statement,-363000000.0,-328414182.95,-363000000.0,100,The value of Other Operating Income Expense for GSK in 2023 is directly stated in the provided financial statement as -363000000.0.,Not provided in the given financial statement,0,"The financial statement is not provided, therefore I am unable to determine GSK's Other Operating Income Expense for the year 2023.",Unknown,0,"Both sources provide different values for Other Operating Income Expense, and there is no additional information to verify which one is correct.",
2153,llama-3.3-70b-versatile,What was the amount of Cash Flows From Used In Operating Activities Continuing Operations reported by GSK in 2024?,GSK,2024,Cash Flows From Used In Operating Activities Continuing Operations,Cash_Flow,6554000000.0,6357820161.78,6554000000.0,100,The amount of Cash Flows From Used In Operating Activities Continuing Operations is directly reported in the financial statement as 6554000000.0.,Not provided in the given financial statement,0,"The financial statement for GSK in 2024 is not provided, therefore the amount of Cash Flows From Used In Operating Activities Continuing Operations cannot be determined.",Unknown,0,"Both sources provide different values for Cash Flows From Used In Operating Activities Continuing Operations, and there is no additional information to verify which one is correct.",
695,llama-3.3-70b-versatile,What was the Contingent Consideration Fair Value Movement for AstraZeneca in the year 2023?,AstraZeneca,2023,Contingent Consideration Fair Value Movement,Company_Specific_Metric,549000000.0,506811335.41,549000000.0,100,The Contingent Consideration Fair Value Movement for AstraZeneca in 2023 is directly stated in the provided financial statement as 549000000.0,Not provided in the given financial statement,0,"The given prompt does not include a financial statement for AstraZeneca, nor does it provide any information regarding the Contingent Consideration Fair Value Movement for the year 2023. Therefore, it is impossible to determine the correct answer based on the provided information.",UNKNOWN,0,Insufficient information to determine the correct source as there is no additional context or data provided about AstraZeneca or the year 2023 to verify the Contingent Consideration Fair Value Movement.,
227,llama-3.3-70b-versatile,What were AstraZeneca's Noncurrent Liabilities for the year 2022?,AstraZeneca,2022,Noncurrent Liabilities,Balance_Sheet,33132000000.0,34048254139.37,33132000000.0,100,The value of Noncurrent Liabilities for AstraZeneca in 2022 is directly stated in the provided Consolidated Balance Sheet as 33132000000.0,Not provided in the given financial statement,0,"The provided text does not contain AstraZenecas financial statement, therefore I am unable to determine their noncurrent liabilities for the year 2022.",34048254139.37,100,"Source B is chosen because it provides a more precise figure with decimal places, suggesting a higher level of accuracy in the reporting of AstraZenecas Noncurrent Liabilities for the year 2022.",
2182,llama-3.3-70b-versatile,What was the amount reported by GSK for Proceeds From Sales Of Investments Accounted For Using Equity Method in the year 2024?,GSK,2024,Proceeds From Sales Of Investments Accounted For Using Equity Method,Balance_Sheet,0.0,-0.43,0.0,100,"The value is directly stated in the provided financial statement as 0.0, indicating that GSK reported no proceeds from the sales of investments accounted for using the equity method in 2024.",Not provided in the given financial statement,0,"The financial statement is not provided, therefore I am unable to determine the amount reported by GSK for Proceeds From Sales Of Investments Accounted For Using Equity Method in the year 2024.",0.0,50,"Insufficient information to determine the correct source, as there is no additional context or data provided about GSK or the year 2024. However, based on the values given, Source A reports a value of 0.0, while Source B reports a negative value. Without further context, it is impossible to determine which source is correct.",
2075,llama-3.3-70b-versatile,What was GSK's Comprehensive Income for the year 2024?,GSK,2024,Comprehensive Income,Income_Statement,2778000000.0,2950171413.37,2778000000.0,100,The Comprehensive Income for GSK in 2024 is directly stated in the provided financial statement as 2778000000.0.,Not provided in the given financial statement,0,"The financial statement for GSK is not provided, therefore I am unable to determine the Comprehensive Income for the year 2024.",Insufficient information to determine,0,"Both Source A and Source B provide different values for Comprehensive Income, and there is no additional information provided to verify which source is correct.",
689,llama-3.3-70b-versatile,What was the amount reported by AstraZeneca for Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss in the year 2021?,AstraZeneca,2021,Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss,Income_Statement,6530000000.0,6036401438.96,6530000000.0,100,The amount reported by AstraZeneca for Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss in the year 2021 is directly stated in the financial statement as 6530000000.0,1134,90,"According to AstraZeneca's 2021 financial statement, the amount reported for Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss was $1134 million. This information can be found in the company's annual report, specifically in the section detailing profit and loss adjustments.",6530000000.0,50,"The question asks which source is correct, but without additional information, it's impossible to determine the accuracy of the sources. However, based on the prompt, I must choose between Source A and Source B. Source A is selected, but the confidence level is 50, indicating a lack of certainty due to the absence of corroborating evidence or context.",
115,llama-3.3-70b-versatile,What was the Diluted Earnings Loss Per Share for AstraZeneca in the year 2020?,AstraZeneca,2020,Diluted Earnings Loss Per Share,Income_Statement,2.44,2.18,2.44,100,The Diluted Earnings Loss Per Share for AstraZeneca in 2020 is directly stated in the provided financial statement as 2.44.,-0.26,90,"According to AstraZeneca's 2020 annual report, the Diluted Earnings Loss Per Share was $-0.26. This information can be found in the income statement section of the report, which provides a detailed breakdown of the company's revenues, expenses, and earnings per share for the year.",2.44 or 2.18,0,Insufficient information to determine the correct source as there is no additional data or context provided to verify the accuracy of either Source A or Source B.,
