name,contextRef,unitRef,decimals,value,measure,entity_identifier,entity_scheme,start_date,end_date,instant,scenario
frs-core:PropertyPlantEquipment,CURRENT_FY_END,GBP,0,"6,425",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:PropertyPlantEquipment,PREVIOUS_FY_END,GBP,0,"6,680",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:FixedAssets,CURRENT_FY_END,GBP,0,"6,425",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:FixedAssets,PREVIOUS_FY_END,GBP,0,"6,680",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:Debtors,CURRENT_FY_END,GBP,0,"145,228",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:Debtors,PREVIOUS_FY_END,GBP,0,"339,330",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:CashBankOnHand,CURRENT_FY_END,GBP,0,"415,684",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:CashBankOnHand,PREVIOUS_FY_END,GBP,0,"422,936",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:CurrentAssets,CURRENT_FY_END,GBP,0,"560,912",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:CurrentAssets,PREVIOUS_FY_END,GBP,0,"762,266",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:Creditors,CURRENT_FY_END,GBP,0,"252,191",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:Creditors,PREVIOUS_FY_END,GBP,0,"232,179",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:NetCurrentAssetsLiabilities,CURRENT_FY_END,GBP,0,"308,721",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
frs-core:NetCurrentAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"530,087",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:TotalAssetsLessCurrentLiabilities,CURRENT_FY_END,GBP,0,"315,146",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,
