id,model,raw_output_rag,raw_output_knowledge,raw_output_adversarial,error
169,openai/gpt-oss-120b,"{""answer"":""0.0"",""confidence"":100,""reasoning"":""The consolidated balance sheet for AstraZeneca in 2020 explicitly lists Intangible Assets And Goodwill as 0.0, so the reported value is 0.0.""}",,"{
  ""source"": ""A"",
  ""answer"": ""0.0"",
  ""confidence"": 80,
  ""reasoning"": ""Intangible assets",
196,openai/gpt-oss-120b,"{
  ""answer"": ""33,000,000.0"",
  ""confidence"": 95,
  ""reasoning"": ""The consolidated balance sheet for AstraZeneca in 2020 lists the Current Derivative Financial Liabilities as 33,000,000.0. This value is directly taken from the provided financial statement.""
}","{
  ""answer"": ""£",,
139,openai/gpt-oss-120b,"{
  ""answer"": ""39000000.0"",
  ""confidence"": 100,
  ""reasoning"": ""The consolidated balance sheet for AstraZeneca in 2020 explicitly lists the 'Investment Accounted For Using Equity Method' as 39000000.0.""
}",,,
256,openai/gpt-oss-120b,"{
  ""answer"": ""15622000000.0"",
  ""confidence"": 100,
  ""reasoning"": ""The consolidated balance sheet for AstraZeneca in 2020 explicitly lists the Equity Attributable To Owners Of Parent as 15622000000.0.""
}",,,
264,openai/gpt-oss-120b,"{
  ""answer"": ""328000000.0"",
  ""confidence"": 100,
  ""reasoning"": ""The consolidated balance sheet for AstraZeneca in 2019 lists Equity as 328000000.0, directly answering the question.""
}",,,
232,openai/gpt-oss-120b,"{
  ""answer"": ""51,091,000,000.0"",
  ""confidence"": 95,
  ""reasoning"": ""The consolidated balance sheet for AstraZeneca in 2020 lists Liabilities as 51091000000.0, which directly provides the total liabilities figure for that year.""
}","{
  ""answer"": ""AstraZeneca reported total liabilities",,
205,openai/gpt-oss-120b,"{
  ""answer"": ""20,307,000,000.0"",
  ""confidence"": 95,
  ""reasoning"": ""The consolidated balance sheet for AstraZeneca in 2020 lists Current Liabilities as 20307000000.0, which directly answers the question.""
}","{
  ""answer"": ""£13.5 billion (",,
211,openai/gpt-oss-120b,"{
  ""answer"": ""489,000,000.0"",
  ""confidence"": 95,
  ""reasoning"": ""The consolidated balance sheet for AstraZeneca in 2020 explicitly lists Noncurrent Lease Liabilities as 489,000,000.0.""
}",,,
270,openai/gpt-oss-120b,"{
  ""answer"": ""0.0"",
  ""confidence"": 100,
  ""reasoning"": ""The consolidated balance sheet for AstraZeneca in 2020 explicitly lists 'Changes In Equity: 0.0', which directly provides the requested value.""
}",,"{
  ""source"": ""UNKNOWN"",
  ""answer"": ""The reported 'Changes In Equity' for AstraZeneca in ",
181,openai/gpt-oss-120b,"{
  ""answer"": ""19,544,000,000.0"",
  ""confidence"": 98,
  ""reasoning"": ""The consolidated balance sheet for AstraZeneca in 2020 lists Current Assets as 19,544,000,000.0, directly matching the figure provided in the financial statement.""
}","{
  ""answer"": ""AstraZeneca reported current assets of approximately £15.5 billion for the fiscal year 2020."",
  ""confidence"": 80,
  ""reasoning"": ""The figure is taken from AstraZeneca's ",,
