id,model,question,entity,year,metric,segment,ground_truth,fake_value,answer_rag,confidence_rag,reasoning_rag,answer_knowledge,confidence_knowledge,reasoning_knowledge,answer_adversarial,confidence_adversarial,reasoning_adversarial,error
2190,gpt-4o,What was the amount reported by GSK for Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities in the year 2023?,GSK,2023,Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities,Cash_Flow,11000000.0,10262460.89,11000000.0,100,"The financial statement explicitly states that the amount for Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities is 11,000,000.0 for the year 2023.",Data not available,0,"As of my training data up to October 2023, I do not have access to GSK's financial statements for the year 2023. Therefore, I cannot provide the amount reported for Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities.",The amount reported by GSK for Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities in the year 2023 is unclear.,50,"There are two conflicting sources with different amounts reported. Without additional information to verify which source is accurate, it is not possible to determine which one is correct.",
1266,gpt-4o,What was the amount reported by GSK for 'Profit Loss From Continuing Operations Attributable To Noncontrolling Interests' in the year 2020?,GSK,2020,Profit Loss From Continuing Operations Attributable To Noncontrolling Interests,Income_Statement,230000000.0,225452393.45,230000000.0,100,"The amount reported for 'Profit Loss From Continuing Operations Attributable To Noncontrolling Interests' in the year 2020 is directly provided in the financial statement as 230,000,000.0. There is no ambiguity or calculation required, hence the confidence level is 100.",Not available,0,"The financial statement provided does not include specific figures or data for GSK's 'Profit Loss From Continuing Operations Attributable To Noncontrolling Interests' for the year 2020. Without access to the actual financial statement or additional data, it is not possible to determine the amount reported for this item.",The exact amount reported by GSK for 'Profit Loss From Continuing Operations Attributable To Noncontrolling Interests' in the year 2020 cannot be determined from the given sources.,50,"Both Source A and Source B provide different figures for the same financial metric, and without additional information or a primary source to verify the correct figure, it is not possible to definitively determine which source is accurate.",
1766,gpt-4o,What was the Basic Earnings Loss Per Share From Continuing Operations reported by GSK in 2023?,GSK,2023,Basic Earnings Loss Per Share From Continuing Operations,Income_Statement,1.216,1.19,1.216,100,The Basic Earnings Loss Per Share From Continuing Operations for GSK in 2023 is explicitly stated as 1.216 in the provided financial statement.,Not available,0,"As of my knowledge cutoff in October 2023, I do not have access to GSK's financial statements for 2023. Therefore, I cannot provide the Basic Earnings Loss Per Share From Continuing Operations for that year.",The Basic Earnings Loss Per Share From Continuing Operations reported by GSK in 2023 is unclear.,50,"There is a discrepancy between Source A and Source B regarding the reported figure. Without additional information or a more authoritative source, it is not possible to determine which source is correct.",
2493,gpt-4o,What was the value of 'Current Assets Liabilities' for Hikma Pharmaceuticals in the year 2022?,Hikma Pharmaceuticals,2022,Current Assets Liabilities,Balance_Sheet,922000000.0,837159215.66,922000000.0,95,"The value of 'Current Assets Liabilities' for Hikma Pharmaceuticals in the year 2022 is directly provided in the financial statement as 922,000,000.0. The confidence level is high because the information is explicitly stated in the document.",Not available,0,"The term 'Current Assets Liabilities' is not a standard financial term. Typically, financial statements report 'Current Assets' and 'Current Liabilities' separately. Without specific data or clarification, it is not possible to provide a value for 'Current Assets Liabilities' for Hikma Pharmaceuticals in 2022.",The correct value of 'Current Assets Liabilities' for Hikma Pharmaceuticals in the year 2022 cannot be determined from the given sources.,50,"The two sources provide conflicting information regarding the 'Current Assets Liabilities' for Hikma Pharmaceuticals in 2022. Without additional data or context to verify which source is accurate, it is not possible to definitively determine which source is correct.",
347,gpt-4o,What was the amount reported by AstraZeneca for Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities in 2020?,AstraZeneca,2020,Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities,Company_Specific_Metric,40000000.0,45474245.35,40000000.0,95,"The financial statement explicitly states that the inflows and outflows of cash related to profit participation liability classified as investing activities amounted to 40,000,000.0 in 2020. This information is directly extracted from the provided data, ensuring high confidence in the accuracy of the reported figure.",Not available,0,"The financial statement provided does not include specific details about the inflows and outflows of cash related to profit participation liability classified as investing activities for AstraZeneca in 2020. Without access to the detailed financial statements or notes, it is not possible to determine this amount.",The amount reported by AstraZeneca for Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities in 2020 is not definitively known based on the provided sources.,50,"The two sources provide conflicting information regarding the amount reported by AstraZeneca. Without additional context or a definitive source, it is not possible to determine which source is correct.",
2159,gpt-4o,What was GSK's Cash Flows From Used In Operating Activities for the year 2024?,GSK,2024,Cash Flows From Used In Operating Activities,Cash_Flow,6554000000.0,6967099702.88,"6,554,000,000.0",95,"The financial statement explicitly states that the Cash Flows From Used In Operating Activities for GSK in 2024 is 6,554,000,000.0. This information is directly extracted from the provided data, ensuring high confidence in the accuracy of the response.",Data not available,0,"As of my knowledge cutoff in October 2023, I do not have access to financial data for the year 2024. Therefore, I cannot provide GSK's Cash Flows From Used In Operating Activities for that year.",The correct Cash Flows From Used In Operating Activities for GSK in 2024 cannot be determined from the given sources.,0,"There is a discrepancy between the two sources provided, with no additional context or information to verify which source is accurate. Without further data or validation, it is not possible to determine which source is correct.",
43,gpt-4o,What was the Profit Loss Before Tax reported by AstraZeneca for the year 2020?,AstraZeneca,2020,Profit Loss Before Tax,Income_Statement,3916000000.0,3673664067.61,3916000000.0,100,"The Profit Loss Before Tax for AstraZeneca in 2020 is directly stated in the financial statement as 3916000000.0. There is no ambiguity or need for further calculation, hence the confidence level is 100.","3,916 million USD",95,"AstraZeneca's financial statements for the year 2020 indicate that the Profit Loss Before Tax was reported as 3,916 million USD. This figure is derived from their income statement, which outlines the company's revenues, expenses, and profits before tax for the fiscal year.",The Profit Loss Before Tax reported by AstraZeneca for the year 2020 cannot be determined with certainty from the given sources.,50,"The two sources provide different figures for the Profit Loss Before Tax, and without additional context or verification from a reliable source, it is not possible to determine which one is correct. Both figures are plausible, but the discrepancy suggests a need for further validation.",
594,gpt-4o,What was AstraZeneca's Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax for the year 2023?,AstraZeneca,2023,Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax,Income_Statement,-33000000.0,-33871874.68,-33000000.0,100,"The financial statement explicitly states that AstraZeneca's Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax for the year 2023 is -33,000,000.0. This information is directly extracted from the provided data, ensuring high confidence in the accuracy of the response.",Data not available,0,"As of my training data cut-off in October 2023, AstraZeneca's financial statements for the full year 2023 have not been released. Therefore, I cannot provide the specific figure for Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax for 2023.",The exact value of AstraZeneca's Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax for the year 2023 cannot be determined with certainty from the given sources.,50,"Both sources provide different figures for the same financial metric, and without additional context or verification, it is not possible to determine which source is correct. Therefore, the confidence level is set at 50, indicating uncertainty.",
3003,gpt-4o,What was the Equity Attributable To Owners Of Parent for Hikma Pharmaceuticals in the year 2024?,Hikma Pharmaceuticals,2024,Equity Attributable To Owners Of Parent,Balance_Sheet,2310000000.0,2271077129.12,2310000000.0,100,"The financial statement explicitly states that the Equity Attributable To Owners Of Parent for Hikma Pharmaceuticals in 2024 is 2310000000.0. Therefore, there is no ambiguity or need for further calculation.",Data not available,0,"As of my last update in October 2023, I do not have access to financial data for the year 2024. Therefore, I cannot provide the Equity Attributable To Owners Of Parent for Hikma Pharmaceuticals for that year.",The Equity Attributable To Owners Of Parent for Hikma Pharmaceuticals in the year 2024 cannot be determined with certainty from the given sources.,50,"The two sources provide conflicting figures for the Equity Attributable To Owners Of Parent, and without additional context or verification, it is not possible to determine which source is correct. Both figures are plausible, but the lack of corroborating evidence or further details makes it impossible to ascertain the correct value with confidence.",
1225,gpt-4o,What was the Other Operating Income Expense reported by GSK for the year 2022?,GSK,2022,Other Operating Income Expense,Income_Statement,-235000000.0,-230256413.61,"-235,000,000.0",100,"The Other Operating Income Expense reported by GSK for the year 2022 is directly stated as -235,000,000.0 in the provided financial statement.","£1,000 million",85,"Based on the financial statement provided by GSK for the year 2022, the Other Operating Income Expense was reported as £1,000 million. This figure is typically found in the income statement under the operating income section, and it includes income and expenses that are not directly related to the core operations of the company. The confidence level is based on the assumption that the financial statement is accurate and has been interpreted correctly.",The Other Operating Income Expense reported by GSK for the year 2022 is unclear.,50,"There is a discrepancy between the two sources, with Source A reporting -235,000,000.0 and Source B reporting -230,256,413.61. Without additional information or a more authoritative source, it is not possible to determine which figure is correct.",
