id,question,entity_name,year,metric,segment,ground_truth_value,fake_value
2190,What was the amount of 'Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities' reported by GSK for the year 2023?,GSK,2023,Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities,Cash_Flow,11000000.0,12087541.45
1266,What was the amount of Profit Loss From Continuing Operations Attributable To Noncontrolling Interests reported by GSK in 2020?,GSK,2020,Profit Loss From Continuing Operations Attributable To Noncontrolling Interests,Income_Statement,230000000.0,198406447.83
1766,What was the Basic Earnings Loss Per Share From Continuing Operations for GSK in the year 2023?,GSK,2023,Basic Earnings Loss Per Share From Continuing Operations,Income_Statement,1.216,1.16
2493,What was the Current Assets Liabilities figure for Hikma Pharmaceuticals in the year 2022?,Hikma Pharmaceuticals,2022,Current Assets Liabilities,Balance_Sheet,922000000.0,920526535.84
347,What was the amount reported by AstraZeneca for Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities in the year 2020?,AstraZeneca,2020,Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities,Company_Specific_Metric,40000000.0,37232418.97
2159,What was the Cash Flows From Used In Operating Activities for GSK in the year 2024?,GSK,2024,Cash Flows From Used In Operating Activities,Cash_Flow,6554000000.0,7148058102.31
43,What was AstraZeneca's Profit Loss Before Tax in the year 2020?,AstraZeneca,2020,Profit Loss Before Tax,Income_Statement,3916000000.0,3536326074.76
594,What was the value of 'Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax' for AstraZeneca in the year 2023?,AstraZeneca,2023,Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax,Income_Statement,-33000000.0,-34588363.57
3003,What was the Equity Attributable To Owners Of Parent for Hikma Pharmaceuticals in the year 2024?,Hikma Pharmaceuticals,2024,Equity Attributable To Owners Of Parent,Balance_Sheet,2310000000.0,2043256499.79
1225,What was the 'Other Operating Income Expense' reported by GSK for the year 2022?,GSK,2022,Other Operating Income Expense,Income_Statement,-235000000.0,-222910608.27
