entity_name,year,segment,original_metric,ground_truth_value,generated_question,generated_answer,generated_reasoning
GSK,2022,Balance_Sheet,Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments,-911000000.0,What was the value of 'Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments' for GSK in the year 2022?,-911000000.0,The figure for Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments related to GSK in 2022 is clearly stated as -911000000.0.
AstraZeneca,2023,Income_Statement,Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax,816000000.0,What was the Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax for AstraZeneca in the year 2023?,816000000.0,The metric labeled as Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax for AstraZeneca in the year 2023 is clearly stated as 816000000.0.
AstraZeneca,2020,Balance_Sheet,Equity,14596000000.0,What was the reported Equity for AstraZeneca in the year 2020?,14596000000.0,The figure for Equity pertaining to AstraZeneca in the year 2020 is clearly stated as 14596000000.0.
GSK,2022,Company_Specific_Metric,Purchase Of Businesses Net Of Cash Acquired,0.0,What was the amount reported for 'Purchase Of Businesses Net Of Cash Acquired' for GSK in the year 2022?,0.0,The value for the metric 'Purchase Of Businesses Net Of Cash Acquired' for GSK in 2022 is clearly stated as 0.0.
GSK,2022,Balance_Sheet,Equity,7944000000.0,What was the reported equity for GSK in the year 2022?,7944000000.0,The value for the Equity metric pertaining to GSK in 2022 is clearly stated as 7944000000.0.
GSK,2024,Balance_Sheet,Deferred Tax Liabilities,311000000.0,What were GSK's Deferred Tax Liabilities reported in 2024?,311000000.0,The specific figure for Deferred Tax Liabilities attributed to GSK in 2024 is clearly stated as 311000000.0.
GSK,2021,Company_Specific_Metric,Cash From Used In Operations Before Tax Discontinued Operations,2422000000.0,What was the amount of 'Cash From Used In Operations Before Tax Discontinued Operations' reported by GSK for the year 2021?,2422000000.0,The figure for 'Cash From Used In Operations Before Tax Discontinued Operations' for GSK in 2021 is clearly stated as 2422000000.0.
GSK,2024,Balance_Sheet,Other Noncurrent Assets,1584000000.0,What were GSK's Other Noncurrent Assets in the year 2024?,1584000000.0,The figure for Other Noncurrent Assets attributed to GSK in 2024 is clearly stated as 1584000000.0.
AstraZeneca,2024,Company_Specific_Metric,Increase Decrease Through Transfer Between Other Reserves And Retained Earnings Equity,-4000000.0,What was the value of 'Increase Decrease Through Transfer Between Other Reserves And Retained Earnings Equity' for AstraZeneca in the year 2024?,-4000000.0,The specific figure for 'Increase Decrease Through Transfer Between Other Reserves And Retained Earnings Equity' for AstraZeneca in 2024 is reported as -4000000.0.
AstraZeneca,2023,Income_Statement,Other Comprehensive Income,0.0,What was the value of Other Comprehensive Income for AstraZeneca in the year 2023?,0.0,The figure for Other Comprehensive Income for AstraZeneca in 2023 is clearly stated as 0.0.
