name,contextRef,unitRef,decimals,value,measure,entity_identifier,entity_scheme,start_date,end_date,instant,scenario,domain
frs-core:PropertyPlantEquipment,CURRENT_FY_END,GBP,0,"67,499",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,,frs-core
frs-core:PropertyPlantEquipment,PREVIOUS_FY_END,GBP,0,"6,808",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:FixedAssets,CURRENT_FY_END,GBP,0,"67,499",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,,frs-core
frs-core:FixedAssets,PREVIOUS_FY_END,GBP,0,"6,808",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:Debtors,CURRENT_FY_END,GBP,0,"91,777",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,,frs-core
frs-core:Debtors,PREVIOUS_FY_END,GBP,0,"57,839",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:CashBankOnHand,CURRENT_FY_END,GBP,0,"280,926",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,,frs-core
frs-core:CashBankOnHand,PREVIOUS_FY_END,GBP,0,"366,696",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:CurrentAssets,CURRENT_FY_END,GBP,0,"372,703",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,,frs-core
frs-core:CurrentAssets,PREVIOUS_FY_END,GBP,0,"424,535",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:Creditors,CURRENT_FY_END,GBP,0,"103,739",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,,frs-core
frs-core:Creditors,PREVIOUS_FY_END,GBP,0,"96,601",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:NetCurrentAssetsLiabilities,CURRENT_FY_END,GBP,0,"268,964",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,,frs-core
frs-core:NetCurrentAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"327,934",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:TotalAssetsLessCurrentLiabilities,CURRENT_FY_END,GBP,0,"336,463",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,,frs-core
frs-core:TotalAssetsLessCurrentLiabilities,PREVIOUS_FY_END,GBP,0,"334,742",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:Creditors,CURRENT_FY_END_NonCurrent,GBP,0,"50,856",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,,frs-core
frs-core:NetAssetsLiabilities,CURRENT_FY_END,GBP,0,"285,607",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2025-03-31,,frs-core
frs-core:NetAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"334,742",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
