name,contextRef,unitRef,decimals,value,measure,entity_identifier,entity_scheme,start_date,end_date,instant,scenario,domain
frs-core:PropertyPlantEquipment,CURRENT_FY_END,GBP,0,"7,613",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,,frs-core
frs-core:PropertyPlantEquipment,PREVIOUS_FY_END,GBP,0,"12,639",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:FixedAssets,CURRENT_FY_END,GBP,0,"7,613",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,,frs-core
frs-core:FixedAssets,PREVIOUS_FY_END,GBP,0,"12,639",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:Debtors,CURRENT_FY_END,GBP,0,"108,000",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,,frs-core
frs-core:Debtors,PREVIOUS_FY_END,GBP,0,"80,511",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:CashBankOnHand,CURRENT_FY_END,GBP,0,"310,677",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,,frs-core
frs-core:CashBankOnHand,PREVIOUS_FY_END,GBP,0,"144,560",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:CurrentAssets,CURRENT_FY_END,GBP,0,"418,677",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,,frs-core
frs-core:CurrentAssets,PREVIOUS_FY_END,GBP,0,"225,071",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:Creditors,CURRENT_FY_END,GBP,0,"89,344",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,,frs-core
frs-core:Creditors,PREVIOUS_FY_END,GBP,0,"51,611",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:NetCurrentAssetsLiabilities,CURRENT_FY_END,GBP,0,"329,333",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,,frs-core
