name,contextRef,unitRef,decimals,value,unit_id,measure,context_id,entity_identifier,entity_scheme,start_date,end_date,instant,scenario
core:PropertyPlantEquipment,CurrYearEnd,GBP,0,"2,092",GBP,iso4217:GBP,CurrYearEnd,11270200,http://www.companieshouse.gov.uk/,,,2023-03-31,
core:PropertyPlantEquipment,CurrYearStart,GBP,0,"1,585",GBP,iso4217:GBP,CurrYearStart,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:Debtors,CurrYearEnd,GBP,0,"21,653",GBP,iso4217:GBP,CurrYearEnd,11270200,http://www.companieshouse.gov.uk/,,,2023-03-31,
core:Debtors,CurrYearStart,GBP,0,"28,837",GBP,iso4217:GBP,CurrYearStart,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:CashBankOnHand,CurrYearEnd,GBP,0,"43,202",GBP,iso4217:GBP,CurrYearEnd,11270200,http://www.companieshouse.gov.uk/,,,2023-03-31,
core:CashBankOnHand,CurrYearStart,GBP,0,"48,221",GBP,iso4217:GBP,CurrYearStart,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:CurrentAssets,CurrYearEnd,GBP,0,"64,855",GBP,iso4217:GBP,CurrYearEnd,11270200,http://www.companieshouse.gov.uk/,,,2023-03-31,
core:CurrentAssets,CurrYearStart,GBP,0,"77,058",GBP,iso4217:GBP,CurrYearStart,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:Creditors,CurrYearEnd_Dim005,GBP,0,"25,247",GBP,iso4217:GBP,CurrYearEnd_Dim005,11270200,http://www.companieshouse.gov.uk/,,,2023-03-31,
core:Creditors,CompYearEnd_Dim006,GBP,0,"22,061",GBP,iso4217:GBP,CompYearEnd_Dim006,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:NetCurrentAssetsLiabilities,CurrYearEnd,GBP,0,"39,608",GBP,iso4217:GBP,CurrYearEnd,11270200,http://www.companieshouse.gov.uk/,,,2023-03-31,
core:NetCurrentAssetsLiabilities,CurrYearStart,GBP,0,"54,997",GBP,iso4217:GBP,CurrYearStart,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:TotalAssetsLessCurrentLiabilities,CurrYearEnd,GBP,0,"41,700",GBP,iso4217:GBP,CurrYearEnd,11270200,http://www.companieshouse.gov.uk/,,,2023-03-31,
core:TotalAssetsLessCurrentLiabilities,CurrYearStart,GBP,0,"56,582",GBP,iso4217:GBP,CurrYearStart,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:ProvisionsForLiabilitiesBalanceSheetSubtotal,CurrYearEnd,GBP,0,397,GBP,iso4217:GBP,CurrYearEnd,11270200,http://www.companieshouse.gov.uk/,,,2023-03-31,
core:ProvisionsForLiabilitiesBalanceSheetSubtotal,CurrYearStart,GBP,0,301,GBP,iso4217:GBP,CurrYearStart,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:NetAssetsLiabilities,CurrYearEnd,GBP,0,"41,303",GBP,iso4217:GBP,CurrYearEnd,11270200,http://www.companieshouse.gov.uk/,,,2023-03-31,
core:NetAssetsLiabilities,CurrYearStart,GBP,0,"56,281",GBP,iso4217:GBP,CurrYearStart,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:Equity,CurrYearEnd_Dim007,GBP,0,2,GBP,iso4217:GBP,CurrYearEnd_Dim007,11270200,http://www.companieshouse.gov.uk/,,,2023-03-31,
core:Equity,CompYearEnd_Dim008,GBP,0,2,GBP,iso4217:GBP,CompYearEnd_Dim008,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:Equity,CurrYearEnd_Dim009,GBP,0,"41,301",GBP,iso4217:GBP,CurrYearEnd_Dim009,11270200,http://www.companieshouse.gov.uk/,,,2023-03-31,
core:Equity,CompYearEnd_Dim010,GBP,0,"56,279",GBP,iso4217:GBP,CompYearEnd_Dim010,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:Equity,CurrYearEnd,GBP,0,"41,303",GBP,iso4217:GBP,CurrYearEnd,11270200,http://www.companieshouse.gov.uk/,,,2023-03-31,
core:Equity,CurrYearStart,GBP,0,"56,281",GBP,iso4217:GBP,CurrYearStart,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:AverageNumberEmployeesDuringPeriod,CurrYearDuration,Pure,0,4,Pure,xbrli:pure,CurrYearDuration,11270200,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,
core:AverageNumberEmployeesDuringPeriod,CompYearDuration,Pure,0,4,Pure,xbrli:pure,CompYearDuration,11270200,http://www.companieshouse.gov.uk/,2021-04-01,2022-03-31,,
core:PropertyPlantEquipmentGrossCost,CurrYearStart_Dim013,GBP,0,"4,723",GBP,iso4217:GBP,CurrYearStart_Dim013,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:AdditionsOtherThanThroughBusinessCombinationsPropertyPlantEquipment,CurrYearDuration_Dim014,GBP,0,"1,205",GBP,iso4217:GBP,CurrYearDuration_Dim014,11270200,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,
core:PropertyPlantEquipmentGrossCost,CurrYearEnd_Dim015,GBP,0,"5,928",GBP,iso4217:GBP,CurrYearEnd_Dim015,11270200,http://www.companieshouse.gov.uk/,,,2023-03-31,
core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CurrYearStart_Dim013,GBP,0,"3,138",GBP,iso4217:GBP,CurrYearStart_Dim013,11270200,http://www.companieshouse.gov.uk/,,,2022-03-31,
core:IncreaseFromDepreciationChargeForYearPropertyPlantEquipment,CurrYearDuration_Dim014,GBP,0,698,GBP,iso4217:GBP,CurrYearDuration_Dim014,11270200,http://www.companieshouse.gov.uk/,2022-04-01,2023-03-31,,
