name,contextRef,unitRef,decimals,value,measure,entity_identifier,entity_scheme,start_date,end_date,instant,scenario,domain
frs-core:PropertyPlantEquipment,CURRENT_FY_END,GBP,0,"12,639",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:PropertyPlantEquipment,PREVIOUS_FY_END,GBP,0,"8,983",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,,frs-core
frs-core:FixedAssets,CURRENT_FY_END,GBP,0,"12,639",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:FixedAssets,PREVIOUS_FY_END,GBP,0,"8,983",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,,frs-core
frs-core:Debtors,CURRENT_FY_END,GBP,0,"80,511",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:Debtors,PREVIOUS_FY_END,GBP,0,"152,459",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,,frs-core
frs-core:CashBankOnHand,CURRENT_FY_END,GBP,0,"144,560",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:CashBankOnHand,PREVIOUS_FY_END,GBP,0,"156,943",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,,frs-core
frs-core:CurrentAssets,CURRENT_FY_END,GBP,0,"225,071",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:CurrentAssets,PREVIOUS_FY_END,GBP,0,"309,402",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,,frs-core
frs-core:Creditors,CURRENT_FY_END,GBP,0,"51,611",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:Creditors,PREVIOUS_FY_END,GBP,0,"41,476",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,,frs-core
frs-core:NetCurrentAssetsLiabilities,CURRENT_FY_END,GBP,0,"173,460",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:NetCurrentAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"267,926",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,,frs-core
frs-core:TotalAssetsLessCurrentLiabilities,CURRENT_FY_END,GBP,0,"186,099",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:TotalAssetsLessCurrentLiabilities,PREVIOUS_FY_END,GBP,0,"276,909",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,,frs-core
frs-core:NetAssetsLiabilities,CURRENT_FY_END,GBP,0,"186,099",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
frs-core:NetAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"276,909",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,,frs-core
frs-core:Equity,CURRENT_FY_END_ShareCapital,GBP,0,100,iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,,frs-core
