id,entity_name,year,segment,original_metric,ground_truth_value,generated_question,generated_answer,generated_reasoning
2190,GSK,2023,Cash_Flow,Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities,11000000.0,What was the amount of 'Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities' reported by GSK for the year 2023?,11000000.0,The amount for the specific metric regarding Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities for GSK in 2023 is clearly stated as 11000000.0.
1266,GSK,2020,Income_Statement,Profit Loss From Continuing Operations Attributable To Noncontrolling Interests,230000000.0,What was the amount of Profit Loss From Continuing Operations Attributable To Noncontrolling Interests reported by GSK in 2020?,230000000.0,The detailed figure for Profit Loss From Continuing Operations Attributable To Noncontrolling Interests for GSK in 2020 is clearly stated as 230000000.0.
1766,GSK,2023,Income_Statement,Basic Earnings Loss Per Share From Continuing Operations,1.216,What was the Basic Earnings Loss Per Share From Continuing Operations for GSK in the year 2023?,1.216,The metric for Basic Earnings Loss Per Share From Continuing Operations for GSK in 2023 is clearly stated as 1.216.
2493,Hikma Pharmaceuticals,2022,Balance_Sheet,Current Assets Liabilities,922000000.0,What was the Current Assets Liabilities figure for Hikma Pharmaceuticals in the year 2022?,922000000.0,The metric for Current Assets Liabilities pertaining to Hikma Pharmaceuticals in 2022 is specifically stated as 922000000.0.
347,AstraZeneca,2020,Company_Specific_Metric,Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities,40000000.0,What was the amount reported by AstraZeneca for Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities in the year 2020?,40000000.0,The figure for Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities for AstraZeneca in the year 2020 is clearly stated as 40000000.0.
2159,GSK,2024,Cash_Flow,Cash Flows From Used In Operating Activities,6554000000.0,What was the Cash Flows From Used In Operating Activities for GSK in the year 2024?,6554000000.0,The metric representing Cash Flows From Used In Operating Activities for GSK in 2024 is clearly stated as 6554000000.0.
43,AstraZeneca,2020,Income_Statement,Profit Loss Before Tax,3916000000.0,What was AstraZeneca's Profit Loss Before Tax in the year 2020?,3916000000.0,The figure for Profit Loss Before Tax for AstraZeneca in 2020 is clearly stated as 3916000000.0.
594,AstraZeneca,2023,Income_Statement,Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax,-33000000.0,What was the value of 'Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax' for AstraZeneca in the year 2023?,-33000000.0,The figure for Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax for AstraZeneca in 2023 is clearly stated as -33000000.0.
3003,Hikma Pharmaceuticals,2024,Balance_Sheet,Equity Attributable To Owners Of Parent,2310000000.0,What was the Equity Attributable To Owners Of Parent for Hikma Pharmaceuticals in the year 2024?,2310000000.0,The precise figure for Equity Attributable To Owners Of Parent for Hikma Pharmaceuticals in 2024 is clearly stated as 2310000000.0.
1225,GSK,2022,Income_Statement,Other Operating Income Expense,-235000000.0,What was the 'Other Operating Income Expense' reported by GSK for the year 2022?,-235000000.0,The figure representing Other Operating Income Expense for GSK in 2022 is clearly stated as -235000000.0.
