id,model,question,ground_truth,fake_value,answer_rag,answer_knowledge,answer_adversarial
2190,deepseek-ai/DeepSeek-R1-0528,What was the amount reported by GSK for Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities in the year 2023?,11000000.0,11252355.47,...,,
2190,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the amount reported by GSK for Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities in the year 2023?,11000000.0,11135453.58,11000000.0,UNKNOWN,UNKNOWN
1266,deepseek-ai/DeepSeek-R1-0528,What was the amount reported by GSK for 'Profit Loss From Continuing Operations Attributable To Noncontrolling Interests' in the year 2020?,230000000.0,201888049.21,,,
1266,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the amount reported by GSK for 'Profit Loss From Continuing Operations Attributable To Noncontrolling Interests' in the year 2020?,230000000.0,211841826.71,230000000.0,UNKNOWN,UNKNOWN
1766,deepseek-ai/DeepSeek-R1-0528,What was the Basic Earnings Loss Per Share From Continuing Operations reported by GSK in 2023?,1.216,1.34,,,
1766,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the Basic Earnings Loss Per Share From Continuing Operations reported by GSK in 2023?,1.216,1.17,1.216,UNKNOWN,UNKNOWN
2493,deepseek-ai/DeepSeek-R1-0528,What was the value of 'Current Assets Liabilities' for Hikma Pharmaceuticals in the year 2022?,922000000.0,1018031587.15,...,,
2493,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the value of 'Current Assets Liabilities' for Hikma Pharmaceuticals in the year 2022?,922000000.0,909907319.51,922000000.0,UNKNOWN,UNKNOWN
347,deepseek-ai/DeepSeek-R1-0528,What was the amount reported by AstraZeneca for Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities in 2020?,40000000.0,41059282.87,...,,
347,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the amount reported by AstraZeneca for Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities in 2020?,40000000.0,39832814.34,40000000.0,UNKNOWN,UNKNOWN
2159,deepseek-ai/DeepSeek-R1-0528,What was GSK's Cash Flows From Used In Operating Activities for the year 2024?,6554000000.0,6906651985.6,...,,
2159,Qwen/Qwen3-235B-A22B-Instruct-2507,What was GSK's Cash Flows From Used In Operating Activities for the year 2024?,6554000000.0,6581880357.42,6554000000.0,UNKNOWN,UNKNOWN
43,deepseek-ai/DeepSeek-R1-0528,What was the Profit Loss Before Tax reported by AstraZeneca for the year 2020?,3916000000.0,3835947238.16,...,,
43,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the Profit Loss Before Tax reported by AstraZeneca for the year 2020?,3916000000.0,4196729965.0,3916000000.0,UNKNOWN,UNKNOWN
594,deepseek-ai/DeepSeek-R1-0528,What was AstraZeneca's Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax for the year 2023?,-33000000.0,-33970213.17,...,,
594,Qwen/Qwen3-235B-A22B-Instruct-2507,What was AstraZeneca's Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax for the year 2023?,-33000000.0,-37681682.88,-33000000.0,UNKNOWN,UNKNOWN
3003,deepseek-ai/DeepSeek-R1-0528,What was the Equity Attributable To Owners Of Parent for Hikma Pharmaceuticals in the year 2024?,2310000000.0,2021227643.57,...,,
3003,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the Equity Attributable To Owners Of Parent for Hikma Pharmaceuticals in the year 2024?,2310000000.0,2449084134.77,2310000000.0,UNKNOWN,UNKNOWN
1225,deepseek-ai/DeepSeek-R1-0528,What was the Other Operating Income Expense reported by GSK for the year 2022?,-235000000.0,-248229162.77,...,,
1225,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the Other Operating Income Expense reported by GSK for the year 2022?,-235000000.0,-248833727.05,-235000000.0,UNKNOWN,UNKNOWN
