id,entity_name,year,segment,original_metric,ground_truth_value,generated_question,generated_answer,generated_reasoning
1849,GSK,2023,Company_Specific_Metric,Income Taxes Paid Refund Classified As Operating Activities Continuing Operations,-1328000000.0,What was the amount reported for Income Taxes Paid Refund Classified As Operating Activities Continuing Operations for GSK in the year 2023?,-1328000000.0,The specific figure for Income Taxes Paid Refund Classified As Operating Activities Continuing Operations for GSK in 2023 is clearly stated as -1328000000.0.
1850,GSK,2023,Cash_Flow,Cash Flows From Used In Operating Activities Continuing Operations,6768000000.0,What was the amount for Cash Flows From Used In Operating Activities Continuing Operations for GSK in the year 2023?,6768000000.0,The figure for Cash Flows From Used In Operating Activities Continuing Operations for GSK in 2023 is clearly stated as 6768000000.0.
1851,GSK,2023,Company_Specific_Metric,Cash From Used In Operations Before Tax Discontinued Operations,0.0,What was GSK's 'Cash From Used In Operations Before Tax Discontinued Operations' in the year 2023?,0.0,The value for the metric 'Cash From Used In Operations Before Tax Discontinued Operations' for GSK in 2023 is clearly indicated as 0.0.
1852,GSK,2023,Company_Specific_Metric,Income Taxes Paid Refund Classified As Operating Activities Discontinued Operations,0.0,What was the amount reported by GSK for 'Income Taxes Paid Refund Classified As Operating Activities Discontinued Operations' in the year 2023?,0.0,The metric corresponding to Income Taxes Paid Refund Classified As Operating Activities Discontinued Operations for GSK in 2023 is clearly stated as 0.0.
1853,GSK,2023,Cash_Flow,Cash Flows From Used In Operating Activities Discontinued Operations,0.0,What was the reported value for Cash Flows From Used In Operating Activities Discontinued Operations for GSK in the year 2023?,0.0,The value for the specific metric Cash Flows From Used In Operating Activities Discontinued Operations for GSK in 2023 is clearly documented as 0.0.
1854,GSK,2023,Cash_Flow,Cash Flows From Used In Operating Activities,6768000000.0,What was GSK's Cash Flows From Used In Operating Activities for the year 2023?,6768000000.0,The amount for Cash Flows From Used In Operating Activities for GSK in 2023 is clearly stated as 6768000000.0.
1855,GSK,2023,Cash_Flow,Purchase Of Property Plant And Equipment Classified As Investing Activities,1314000000.0,What was GSK's reported amount for the Purchase Of Property Plant And Equipment Classified As Investing Activities in the year 2023?,1314000000.0,The value for the Purchase Of Property Plant And Equipment Classified As Investing Activities for GSK in 2023 is stated as 1314000000.0.
1856,GSK,2023,Cash_Flow,Proceeds From Sales Of Property Plant And Equipment Classified As Investing Activities,28000000.0,What were the Proceeds From Sales Of Property Plant And Equipment Classified As Investing Activities for GSK in the year 2023?,28000000.0,The value for the Proceeds From Sales Of Property Plant And Equipment Classified As Investing Activities for GSK in 2023 is clearly indicated as 28000000.0.
1857,GSK,2023,Cash_Flow,Purchase Of Intangible Assets Classified As Investing Activities,1030000000.0,What was the amount reported by GSK for the Purchase Of Intangible Assets Classified As Investing Activities in 2023?,1030000000.0,The amount for the Purchase Of Intangible Assets Classified As Investing Activities for GSK in 2023 is clearly stated as 1030000000.0.
1858,GSK,2023,Cash_Flow,Proceeds From Sales Of Intangible Assets Classified As Investing Activities,12000000.0,What were the proceeds from the sales of intangible assets classified as investing activities for GSK in the year 2023?,12000000.0,The figure for the proceeds from sales of intangible assets classified as investing activities for GSK in 2023 is clearly stated as 12000000.0.
