id,model,question,entity,year,metric,segment,ground_truth,fake_value,answer_rag,confidence_rag,answer_knowledge,confidence_knowledge,answer_adversarial,confidence_adversarial,rag_accuracy,knowledge_accuracy,adversarial_correct,error
1237,openai/gpt-oss-120b,What was the value of 'Gain Loss On Disposal Of Interest In Associate' for GSK in the year 2022?,GSK,2022,Gain Loss On Disposal Of Interest In Associate,Company_Specific_Metric,0.0,0.95,0.0,99,,N/A,0.95,N/A,True,False,False,
1362,openai/gpt-oss-120b,What was the amount reported for 'Investment Accounted For Using Equity Method' by GSK in the year 2022?,GSK,2022,Investment Accounted For Using Equity Method,Balance_Sheet,74000000.0,71237255.42,74000000.0,99,,N/A,,N/A,True,False,False,
1745,openai/gpt-oss-120b,What was GSK's Other Operating Income Expense for the year 2023?,GSK,2023,Other Operating Income Expense,Income_Statement,-363000000.0,-379570007.35,-363000000.0,98,,N/A,-379570007.35 (Source B),78,True,False,False,
2153,openai/gpt-oss-120b,What was the amount of Cash Flows From Used In Operating Activities Continuing Operations reported by GSK in 2024?,GSK,2024,Cash Flows From Used In Operating Activities Continuing Operations,Cash_Flow,6554000000.0,6379532993.72,6554000000,99,,N/A,,N/A,False,False,False,
695,openai/gpt-oss-120b,What was the Contingent Consideration Fair Value Movement for AstraZeneca in the year 2023?,AstraZeneca,2023,Contingent Consideration Fair Value Movement,Company_Specific_Metric,549000000.0,586350247.12,549000000.0,99,The Contingent Consideration Fair Value Movement for AstraZeneca in 2023 is not available in the provided financial statement excerpt.,20,,N/A,True,False,False,
227,openai/gpt-oss-120b,What were AstraZeneca's Noncurrent Liabilities for the year 2022?,AstraZeneca,2022,Noncurrent Liabilities,Balance_Sheet,33132000000.0,35828193558.16,33132000000.0,95,,N/A,,N/A,True,False,False,
2182,openai/gpt-oss-120b,What was the amount reported by GSK for Proceeds From Sales Of Investments Accounted For Using Equity Method in the year 2024?,GSK,2024,Proceeds From Sales Of Investments Accounted For Using Equity Method,Balance_Sheet,0.0,0.31,0.0,100,,20,,N/A,True,False,False,
2075,openai/gpt-oss-120b,What was GSK's Comprehensive Income for the year 2024?,GSK,2024,Comprehensive Income,Income_Statement,2778000000.0,2365787819.49,2778000000.0,95,The comprehensive income for GSK for the year 2024 has not been publicly disclosed as of the latest available data.,20,,N/A,True,False,False,
689,openai/gpt-oss-120b,What was the amount reported by AstraZeneca for Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss in the year 2021?,AstraZeneca,2021,Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss,Income_Statement,6530000000.0,7436971816.28,6530000000.0,99,,N/A,,N/A,True,False,False,
115,openai/gpt-oss-120b,What was the Diluted Earnings Loss Per Share for AstraZeneca in the year 2020?,AstraZeneca,2020,Diluted Earnings Loss Per Share,Income_Statement,2.44,2.53,2.44,95,,N/A,,N/A,True,False,False,
