name,contextRef,unitRef,decimals,value,measure,entity_identifier,entity_scheme,start_date,end_date,instant,scenario
frs-core:PropertyPlantEquipment,CURRENT_FY_END,GBP,0,"12,639",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:PropertyPlantEquipment,PREVIOUS_FY_END,GBP,0,"8,983",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:FixedAssets,CURRENT_FY_END,GBP,0,"12,639",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:FixedAssets,PREVIOUS_FY_END,GBP,0,"8,983",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:Debtors,CURRENT_FY_END,GBP,0,"80,511",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:Debtors,PREVIOUS_FY_END,GBP,0,"152,459",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:CashBankOnHand,CURRENT_FY_END,GBP,0,"144,560",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:CashBankOnHand,PREVIOUS_FY_END,GBP,0,"156,943",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:CurrentAssets,CURRENT_FY_END,GBP,0,"225,071",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:CurrentAssets,PREVIOUS_FY_END,GBP,0,"309,402",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:Creditors,CURRENT_FY_END,GBP,0,"51,611",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:Creditors,PREVIOUS_FY_END,GBP,0,"41,476",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:NetCurrentAssetsLiabilities,CURRENT_FY_END,GBP,0,"173,460",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:NetCurrentAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"267,926",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:TotalAssetsLessCurrentLiabilities,CURRENT_FY_END,GBP,0,"186,099",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:TotalAssetsLessCurrentLiabilities,PREVIOUS_FY_END,GBP,0,"276,909",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:NetAssetsLiabilities,CURRENT_FY_END,GBP,0,"186,099",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:NetAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"276,909",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:Equity,CURRENT_FY_END_ShareCapital,GBP,0,100,iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:Equity,PREVIOUS_FY_END_ShareCapital,GBP,0,100,iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:Equity,CURRENT_FY_END_RetainedEarningsAccumulatedLosses,GBP,0,"185,999",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:Equity,PREVIOUS_FY_END_RetainedEarningsAccumulatedLosses,GBP,0,"276,809",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:AverageNumberEmployeesDuringPeriod,CURRENT_FY_PERIOD,Number,0,16,xbrli:pure,08948140,http://www.companieshouse.gov.uk/,2019-04-01,2020-03-31,,
frs-core:AverageNumberEmployeesDuringPeriod,PREVIOUS_FY_PERIOD,Number,0,16,xbrli:pure,08948140,http://www.companieshouse.gov.uk/,2018-04-01,2019-03-31,,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START_FixturesFittings,GBP,0,"1,173",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START_ComputerEquipment,GBP,0,"11,732",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START,GBP,0,"12,905",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:TotalAdditionsIncludingFromBusinessCombinationsPropertyPlantEquipment,CURRENT_FY_PERIOD_FixturesFittings,GBP,0,"4,828",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,2019-04-01,2020-03-31,,
frs-core:TotalAdditionsIncludingFromBusinessCombinationsPropertyPlantEquipment,CURRENT_FY_PERIOD_ComputerEquipment,GBP,0,"3,634",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,2019-04-01,2020-03-31,,
frs-core:TotalAdditionsIncludingFromBusinessCombinationsPropertyPlantEquipment,CURRENT_FY_PERIOD,GBP,0,"8,462",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,2019-04-01,2020-03-31,,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_END_FixturesFittings,GBP,0,"6,001",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_END_ComputerEquipment,GBP,0,"15,366",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_END,GBP,0,"21,367",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CURRENT_FY_START_FixturesFittings,GBP,0,97,iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CURRENT_FY_START_ComputerEquipment,GBP,0,"3,825",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CURRENT_FY_START,GBP,0,"3,922",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:IncreaseFromDepreciationChargeForYearPropertyPlantEquipment,CURRENT_FY_PERIOD_FixturesFittings,GBP,0,"1,167",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,2019-04-01,2020-03-31,,
frs-core:IncreaseFromDepreciationChargeForYearPropertyPlantEquipment,CURRENT_FY_PERIOD_ComputerEquipment,GBP,0,"3,639",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,2019-04-01,2020-03-31,,
frs-core:IncreaseFromDepreciationChargeForYearPropertyPlantEquipment,CURRENT_FY_PERIOD,GBP,0,"4,806",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,2019-04-01,2020-03-31,,
frs-core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CURRENT_FY_END_FixturesFittings,GBP,0,"1,264",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CURRENT_FY_END_ComputerEquipment,GBP,0,"7,464",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CURRENT_FY_END,GBP,0,"8,728",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:PropertyPlantEquipment,CURRENT_FY_END_FixturesFittings,GBP,0,"4,737",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
