id,model,question,entity,year,metric,segment,ground_truth,fake_value,answer_rag,confidence_rag,reasoning_rag,answer_knowledge,confidence_knowledge,reasoning_knowledge,answer_adversarial,confidence_adversarial,reasoning_adversarial,error
2190,openai/gpt-oss-120b,What was the amount reported by GSK for Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities in the year 2023?,GSK,2023,Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities,Cash_Flow,11000000.0,11261254.77,11000000.0,99,The consolidated statement of cash flows for GSK in 2023 explicitly lists the amount for 'Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities' as 11000000.0.,,N/A,,11261254.77,80,Source B provides a more precise figure (to two decimal places) compared to the rounded value in Source,
1266,openai/gpt-oss-120b,What was the amount reported by GSK for 'Profit Loss From Continuing Operations Attributable To Noncontrolling Interests' in the year 2020?,GSK,2020,Profit Loss From Continuing Operations Attributable To Noncontrolling Interests,Income_Statement,230000000.0,249124620.44,230000000.0,95,"The consolidated income statement for GSK in 2020 explicitly lists 'Profit Loss From Continuing Operations Attributable To Noncontrolling Interests' as 230000000.0, which directly answers the question.",,N/A,,249124620.44,70,,
1766,openai/gpt-oss-120b,What was the Basic Earnings Loss Per Share From Continuing Operations reported by GSK in 2023?,GSK,2023,Basic Earnings Loss Per Share From Continuing Operations,Income_Statement,1.216,1.16,1.216,95,The consolidated income statement for GSK in 2023 explicitly lists the Basic Earnings Loss Per Share From Continuing Operations as 1.216.,,N/A,,,N/A,,
2493,openai/gpt-oss-120b,What was the value of 'Current Assets Liabilities' for Hikma Pharmaceuticals in the year 2022?,Hikma Pharmaceuticals,2022,Current Assets Liabilities,Balance_Sheet,922000000.0,972048653.57,922000000.0,99,"The financial statement explicitly lists 'Current Assets Liabilities' as 922000000.0 for Hikma Pharmaceuticals in 2022, so the value is directly taken from the provided data.",The specific value for \,15,"The financial statement excerpt does not include a line item labeled 'Current Assets Liabilities' for Hikma Pharmaceuticals for the year 2022, and no external data",,N/A,,
347,openai/gpt-oss-120b,What was the amount reported by AstraZeneca for Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities in 2020?,AstraZeneca,2020,Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities,Company_Specific_Metric,40000000.0,38010938.24,40000000.0,100,The consolidated statement of cash flows for AstraZeneca in 2020 explicitly lists the amount for 'Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities' as 40000000.0.,,N/A,,,N/A,,
2159,openai/gpt-oss-120b,What was GSK's Cash Flows From Used In Operating Activities for the year 2024?,GSK,2024,Cash Flows From Used In Operating Activities,Cash_Flow,6554000000.0,6621318895.6,6554000000.0,100,"The consolidated statement of cash flows for GSK in 2024 lists the Cash Flows From Used In Operating Activities as 6,554,000,000.0, which directly answers the question.",,N/A,,,N/A,,
43,openai/gpt-oss-120b,What was the Profit Loss Before Tax reported by AstraZeneca for the year 2020?,AstraZeneca,2020,Profit Loss Before Tax,Income_Statement,3916000000.0,4350766923.82,3916000000.0,95,"The consolidated income statement for AstraZeneca in 2020 explicitly lists the Profit Loss Before Tax as 3916000000.0, which directly answers the question.",,N/A,,,N/A,,
594,openai/gpt-oss-120b,What was AstraZeneca's Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax for the year 2023?,AstraZeneca,2023,Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax,Income_Statement,-33000000.0,-29416183.93,-33000000.0,95,"The consolidated income statement for AstraZeneca in 2023 explicitly lists 'Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax' as -33,000,000.0.",,N/A,,,N/A,,
3003,openai/gpt-oss-120b,What was the Equity Attributable To Owners Of Parent for Hikma Pharmaceuticals in the year 2024?,Hikma Pharmaceuticals,2024,Equity Attributable To Owners Of Parent,Balance_Sheet,2310000000.0,2508320800.92,2310000000.0,99,"The consolidated balance sheet for Hikma Pharmaceuticals in 2024 lists the Equity Attributable To Owners Of Parent as 2,310,000,000.0, directly answering the question.",Data not available,20,"The financial statements for Hikma Pharmaceuticals for the year 2024 are not publicly accessible in the provided context, and a search of typical financial databases does not return the specific line item 'Equity Attributable To Owners Of Parent' for that year. Without the actual report or a reliable source, I cannot provide",The equity attributable to owners of parent for Hikma Pharmaceuticals in 2024 cannot be definitively determined from the provided information.,30,Two conflicting figures are given (2,
1225,openai/gpt-oss-120b,What was the Other Operating Income Expense reported by GSK for the year 2022?,GSK,2022,Other Operating Income Expense,Income_Statement,-235000000.0,-249737039.25,-235000000.0,100,"The consolidated income statement for GSK in 2022 lists the Other Operating Income Expense as -235000000.0, directly answering the question.",,N/A,,,N/A,,
