id,model,question,entity,year,metric,segment,ground_truth,fake_value,answer_rag,confidence_rag,reasoning_rag,answer_knowledge,confidence_knowledge,reasoning_knowledge,answer_adversarial,confidence_adversarial,reasoning_adversarial,error
1237,openai/gpt-oss-120b,What was the value of 'Gain Loss On Disposal Of Interest In Associate' for GSK in the year 2022?,GSK,2022,Gain Loss On Disposal Of Interest In Associate,Company_Specific_Metric,0.0,-0.95,0.0,99,"The consolidated statement of cash flows for GSK in 2022 explicitly lists 'Gain Loss On Disposal Of Interest In Associate' as 0.0, indicating no gain or loss was recorded for that item.",,N/A,,The exact value of ,30,The,
1362,openai/gpt-oss-120b,What was the amount reported for 'Investment Accounted For Using Equity Method' by GSK in the year 2022?,GSK,2022,Investment Accounted For Using Equity Method,Balance_Sheet,74000000.0,75762926.53,74000000.0,99,"The consolidated balance sheet for GSK in 2022 explicitly lists 'Investment Accounted For Using Equity Method' as 74000000.0, which directly answers the question.",,N/A,,,N/A,,
1745,openai/gpt-oss-120b,What was GSK's Other Operating Income Expense for the year 2023?,GSK,2023,Other Operating Income Expense,Income_Statement,-363000000.0,-344273825.51,-363000000.0,98,"The consolidated income statement for GSK in 2023 lists 'Other Operating Income Expense' as -363000000.0, directly providing the requested figure.",,N/A,,,N/A,,
2153,openai/gpt-oss-120b,What was the amount of Cash Flows From Used In Operating Activities Continuing Operations reported by GSK in 2024?,GSK,2024,Cash Flows From Used In Operating Activities Continuing Operations,Cash_Flow,6554000000.0,7276504137.07,6554000000,99,"The consolidated statement of cash flows for GSK in 2024 explicitly lists 'Cash Flows From Used In Operating Activities Continuing Operations' as 6554000000.0, which corresponds to 6,554,000,000.",,N/A,,,N/A,,
695,openai/gpt-oss-120b,What was the Contingent Consideration Fair Value Movement for AstraZeneca in the year 2023?,AstraZeneca,2023,Contingent Consideration Fair Value Movement,Company_Specific_Metric,549000000.0,537820958.8,549000000.0,99,"The consolidated statement of cash flows for AstraZeneca in 2023 explicitly lists the Contingent Consideration Fair Value Movement as 549000000.0, which directly answers the question.",The Contingent Consideration Fair Value Movement for AstraZeneca in 2023 is not available in the provided financial statement excerpt.,20,"The request references a specific line item (Contingent Consideration Fair Value Movement) for the year 2023, but the supplied financial statement does not include that",,N/A,,
227,openai/gpt-oss-120b,What were AstraZeneca's Noncurrent Liabilities for the year 2022?,AstraZeneca,2022,Noncurrent Liabilities,Balance_Sheet,33132000000.0,34031530532.73,33132000000.0,95,"The consolidated balance sheet for AstraZeneca in 2022 lists Noncurrent Liabilities as 33,132,000,000.0, directly providing the requested figure.",,N/A,,,N/A,,
2182,openai/gpt-oss-120b,What was the amount reported by GSK for Proceeds From Sales Of Investments Accounted For Using Equity Method in the year 2024?,GSK,2024,Proceeds From Sales Of Investments Accounted For Using Equity Method,Balance_Sheet,0.0,0.59,0.0,100,"The consolidated balance sheet for GSK in 2024 explicitly lists 'Proceeds From Sales Of Investments Accounted For Using Equity Method' as 0.0, indicating no proceeds were reported for this item.",The specific amount for GSK,15,The user query requires a precise figure from GSK's 2024 financial statements. Since the financial statement data was not included in the prompt and I,,N/A,,
2075,openai/gpt-oss-120b,What was GSK's Comprehensive Income for the year 2024?,GSK,2024,Comprehensive Income,Income_Statement,2778000000.0,2396872584.57,2778000000.0,95,"The consolidated income statement for GSK in 2024 explicitly lists the Comprehensive Income as 2,778,000,000.0, which directly answers the question.",The comprehensive income for GSK for the year 2024 has not been publicly disclosed as of the latest available data.,20,"My knowledge cutoff is June 2024, and GSK's full-year 2024 financial results, including comprehensive income, are typically released after the fiscal year ends (often in early 2025). No official figures have been reported in the",,N/A,,
689,openai/gpt-oss-120b,What was the amount reported by AstraZeneca for Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss in the year 2021?,AstraZeneca,2021,Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss,Income_Statement,6530000000.0,5813747254.44,6530000000.0,99,The consolidated income statement for AstraZeneca 202,,N/A,,,N/A,,
115,openai/gpt-oss-120b,What was the Diluted Earnings Loss Per Share for AstraZeneca in the year 2020?,AstraZeneca,2020,Diluted Earnings Loss Per Share,Income_Statement,2.44,2.71,2.44,95,"The consolidated income statement for AstraZeneca in 2020 explicitly lists the Diluted Earnings Loss Per Share as 2.44, which directly answers the question.",,N/A,,,N/A,,
