id,model,raw_output_rag,raw_output_knowledge,raw_output_adversarial,error
16,deepseek-ai/DeepSeek-R1-0528,,,,
22,deepseek-ai/DeepSeek-R1-0528,,,,
21,deepseek-ai/DeepSeek-R1-0528,,,,
26,deepseek-ai/DeepSeek-R1-0528,,,,
20,deepseek-ai/DeepSeek-R1-0528,,,,
25,deepseek-ai/DeepSeek-R1-0528,,,,
24,deepseek-ai/DeepSeek-R1-0528,,,,
27,deepseek-ai/DeepSeek-R1-0528,,,,
31,deepseek-ai/DeepSeek-R1-0528,,,,
32,deepseek-ai/DeepSeek-R1-0528,,,,
28,deepseek-ai/DeepSeek-R1-0528,,,,
30,deepseek-ai/DeepSeek-R1-0528,,,,
34,deepseek-ai/DeepSeek-R1-0528,,,,
29,deepseek-ai/DeepSeek-R1-0528,,,,
38,deepseek-ai/DeepSeek-R1-0528,,,,
39,deepseek-ai/DeepSeek-R1-0528,,,,
45,deepseek-ai/DeepSeek-R1-0528,,,,
48,deepseek-ai/DeepSeek-R1-0528,,,,
40,deepseek-ai/DeepSeek-R1-0528,,,,
49,deepseek-ai/DeepSeek-R1-0528,,,,
50,deepseek-ai/DeepSeek-R1-0528,,,,
23,deepseek-ai/DeepSeek-R1-0528,,,,
139,deepseek-ai/DeepSeek-R1-0528,,,,
33,deepseek-ai/DeepSeek-R1-0528,,,,
41,deepseek-ai/DeepSeek-R1-0528,,,,
138,deepseek-ai/DeepSeek-R1-0528,,,,
42,deepseek-ai/DeepSeek-R1-0528,,,,
43,deepseek-ai/DeepSeek-R1-0528,,,,
44,deepseek-ai/DeepSeek-R1-0528,,,,
47,deepseek-ai/DeepSeek-R1-0528,,,,
913,deepseek-ai/DeepSeek-R1-0528,,,,
941,deepseek-ai/DeepSeek-R1-0528,,,,
914,deepseek-ai/DeepSeek-R1-0528,,,,
991,deepseek-ai/DeepSeek-R1-0528,,,,
1010,deepseek-ai/DeepSeek-R1-0528,,,,
998,deepseek-ai/DeepSeek-R1-0528,,,,
1008,deepseek-ai/DeepSeek-R1-0528,,,,
1009,deepseek-ai/DeepSeek-R1-0528,,,,
990,deepseek-ai/DeepSeek-R1-0528,,,,
988,deepseek-ai/DeepSeek-R1-0528,,,,
1002,deepseek-ai/DeepSeek-R1-0528,,,,
993,deepseek-ai/DeepSeek-R1-0528,,,,
1000,deepseek-ai/DeepSeek-R1-0528,,,,
1005,deepseek-ai/DeepSeek-R1-0528,,,,
1019,deepseek-ai/DeepSeek-R1-0528,,,,
1001,deepseek-ai/DeepSeek-R1-0528,,,,
915,deepseek-ai/DeepSeek-R1-0528,,,,
994,deepseek-ai/DeepSeek-R1-0528,,,,
997,deepseek-ai/DeepSeek-R1-0528,,,,
1017,deepseek-ai/DeepSeek-R1-0528,,,,
1773,deepseek-ai/DeepSeek-R1-0528,,,,
1513,deepseek-ai/DeepSeek-R1-0528,,,,
1462,deepseek-ai/DeepSeek-R1-0528,,,,
1798,deepseek-ai/DeepSeek-R1-0528,,,,
1802,deepseek-ai/DeepSeek-R1-0528,,,,
1593,deepseek-ai/DeepSeek-R1-0528,,,,
1747,deepseek-ai/DeepSeek-R1-0528,,,,
1297,deepseek-ai/DeepSeek-R1-0528,,,,
1514,deepseek-ai/DeepSeek-R1-0528,,,,
1817,deepseek-ai/DeepSeek-R1-0528,,,,
1534,deepseek-ai/DeepSeek-R1-0528,,,,
1490,deepseek-ai/DeepSeek-R1-0528,,,,
1612,deepseek-ai/DeepSeek-R1-0528,,,,
1533,deepseek-ai/DeepSeek-R1-0528,,,,
1505,deepseek-ai/DeepSeek-R1-0528,,,,
1550,deepseek-ai/DeepSeek-R1-0528,,,,
1795,deepseek-ai/DeepSeek-R1-0528,,,,
1605,deepseek-ai/DeepSeek-R1-0528,,,,
1789,deepseek-ai/DeepSeek-R1-0528,,,,
1517,deepseek-ai/DeepSeek-R1-0528,,,,
1363,deepseek-ai/DeepSeek-R1-0528,,,,
1553,deepseek-ai/DeepSeek-R1-0528,,,,
1445,deepseek-ai/DeepSeek-R1-0528,,,,
1772,deepseek-ai/DeepSeek-R1-0528,,,,
1422,deepseek-ai/DeepSeek-R1-0528,,,,
1406,deepseek-ai/DeepSeek-R1-0528,,,,
1867,deepseek-ai/DeepSeek-R1-0528,,,,
1754,deepseek-ai/DeepSeek-R1-0528,,,,
74,deepseek-ai/DeepSeek-R1-0528,,,,
1301,deepseek-ai/DeepSeek-R1-0528,,,,
1350,deepseek-ai/DeepSeek-R1-0528,,,,
1298,deepseek-ai/DeepSeek-R1-0528,,,,
1540,deepseek-ai/DeepSeek-R1-0528,,,,
2593,deepseek-ai/DeepSeek-R1-0528,,,,
2557,deepseek-ai/DeepSeek-R1-0528,,,,
2562,deepseek-ai/DeepSeek-R1-0528,,,,
2737,deepseek-ai/DeepSeek-R1-0528,,,,
2966,deepseek-ai/DeepSeek-R1-0528,,,,
154,deepseek-ai/DeepSeek-R1-0528,,,,
82,deepseek-ai/DeepSeek-R1-0528,,,,
55,deepseek-ai/DeepSeek-R1-0528,,,,
2086,deepseek-ai/DeepSeek-R1-0528,,,,
2538,deepseek-ai/DeepSeek-R1-0528,,,,
2535,deepseek-ai/DeepSeek-R1-0528,,,,
2565,deepseek-ai/DeepSeek-R1-0528,,,,
2543,deepseek-ai/DeepSeek-R1-0528,,,,
