name,contextRef,unitRef,decimals,value,measure,entity_identifier,entity_scheme,start_date,end_date,instant,scenario,domain
frs-core:PropertyPlantEquipment,CURRENT_FY_END,GBP,0,"6,808",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:PropertyPlantEquipment,PREVIOUS_FY_END,GBP,0,"6,425",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:FixedAssets,CURRENT_FY_END,GBP,0,"6,808",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:FixedAssets,PREVIOUS_FY_END,GBP,0,"6,425",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:Debtors,CURRENT_FY_END,GBP,0,"57,839",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:Debtors,PREVIOUS_FY_END,GBP,0,"145,228",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:CashBankOnHand,CURRENT_FY_END,GBP,0,"366,696",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:CashBankOnHand,PREVIOUS_FY_END,GBP,0,"415,684",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:CurrentAssets,CURRENT_FY_END,GBP,0,"424,535",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:CurrentAssets,PREVIOUS_FY_END,GBP,0,"560,912",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:Creditors,CURRENT_FY_END,GBP,0,"96,601",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2024-03-31,,frs-core
frs-core:Creditors,PREVIOUS_FY_END,GBP,0,"252,191",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
