name,contextRef,unitRef,decimals,value,unit_id,measure,context_id,entity_identifier,entity_scheme,start_date,end_date,instant,scenario
frs-core:PropertyPlantEquipment,CURRENT_FY_END,GBP,0,"6,680",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:PropertyPlantEquipment,PREVIOUS_FY_END,GBP,0,"7,613",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:FixedAssets,CURRENT_FY_END,GBP,0,"6,680",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:FixedAssets,PREVIOUS_FY_END,GBP,0,"7,613",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:Debtors,CURRENT_FY_END,GBP,0,"339,330",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:Debtors,PREVIOUS_FY_END,GBP,0,"108,000",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:CashBankOnHand,CURRENT_FY_END,GBP,0,"422,936",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:CashBankOnHand,PREVIOUS_FY_END,GBP,0,"310,677",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:CurrentAssets,CURRENT_FY_END,GBP,0,"762,266",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:CurrentAssets,PREVIOUS_FY_END,GBP,0,"418,677",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:Creditors,CURRENT_FY_END,GBP,0,"232,179",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:Creditors,PREVIOUS_FY_END,GBP,0,"89,344",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:NetCurrentAssetsLiabilities,CURRENT_FY_END,GBP,0,"530,087",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:NetCurrentAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"329,333",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:TotalAssetsLessCurrentLiabilities,CURRENT_FY_END,GBP,0,"536,767",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:TotalAssetsLessCurrentLiabilities,PREVIOUS_FY_END,GBP,0,"336,946",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:NetAssetsLiabilities,CURRENT_FY_END,GBP,0,"536,767",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:NetAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"336,946",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:Equity,CURRENT_FY_END_ShareCapital,GBP,0,100,GBP,iso4217:GBP,CURRENT_FY_END_ShareCapital,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:Equity,PREVIOUS_FY_END_ShareCapital,GBP,0,100,GBP,iso4217:GBP,PREVIOUS_FY_END_ShareCapital,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:Equity,CURRENT_FY_END_RetainedEarningsAccumulatedLosses,GBP,0,"536,667",GBP,iso4217:GBP,CURRENT_FY_END_RetainedEarningsAccumulatedLosses,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,
frs-core:Equity,PREVIOUS_FY_END_RetainedEarningsAccumulatedLosses,GBP,0,"336,846",GBP,iso4217:GBP,PREVIOUS_FY_END_RetainedEarningsAccumulatedLosses,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:AverageNumberEmployeesDuringPeriod,CURRENT_FY_PERIOD,Number,0,14,Number,xbrli:pure,CURRENT_FY_PERIOD,08948140,http://www.companieshouse.gov.uk/,2021-04-01,2022-03-31,,
frs-core:AverageNumberEmployeesDuringPeriod,PREVIOUS_FY_PERIOD,Number,0,13,Number,xbrli:pure,PREVIOUS_FY_PERIOD,08948140,http://www.companieshouse.gov.uk/,2020-04-01,2021-03-31,,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START_FurnitureFittings,GBP,0,"6,001",GBP,iso4217:GBP,CURRENT_FY_START_FurnitureFittings,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START_ComputerEquipment,GBP,0,"15,366",GBP,iso4217:GBP,CURRENT_FY_START_ComputerEquipment,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START,GBP,0,"21,367",GBP,iso4217:GBP,CURRENT_FY_START,08948140,http://www.companieshouse.gov.uk/,,,2021-03-31,
frs-core:TotalAdditionsIncludingFromBusinessCombinationsPropertyPlantEquipment,CURRENT_FY_PERIOD_FurnitureFittings,GBP,0,-,GBP,iso4217:GBP,CURRENT_FY_PERIOD_FurnitureFittings,08948140,http://www.companieshouse.gov.uk/,2021-04-01,2022-03-31,,
frs-core:TotalAdditionsIncludingFromBusinessCombinationsPropertyPlantEquipment,CURRENT_FY_PERIOD_ComputerEquipment,GBP,0,"2,955",GBP,iso4217:GBP,CURRENT_FY_PERIOD_ComputerEquipment,08948140,http://www.companieshouse.gov.uk/,2021-04-01,2022-03-31,,
