name,contextRef,unitRef,decimals,value,unit_id,measure,context_id,entity_identifier,entity_scheme,start_date,end_date,instant,scenario
core:PropertyPlantEquipment,CurrYearEnd,GBP,0,"1,299",GBP,iso4217:GBP,CurrYearEnd,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:Debtors,CurrYearEnd,GBP,0,"145,146",GBP,iso4217:GBP,CurrYearEnd,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:Debtors,CurrYearStart,GBP,0,"109,326",GBP,iso4217:GBP,CurrYearStart,08948140,http://www.companieshouse.gov.uk/,,,2016-03-31,
core:CashBankOnHand,CurrYearEnd,GBP,0,"210,787",GBP,iso4217:GBP,CurrYearEnd,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:CurrentAssets,CurrYearEnd,GBP,0,"355,933",GBP,iso4217:GBP,CurrYearEnd,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:CurrentAssets,CurrYearStart,GBP,0,"109,326",GBP,iso4217:GBP,CurrYearStart,08948140,http://www.companieshouse.gov.uk/,,,2016-03-31,
core:Creditors,CurrYearEnd_Dim003,GBP,0,"69,205",GBP,iso4217:GBP,CurrYearEnd_Dim003,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:Creditors,CompYearEnd_Dim004,GBP,0,"22,325",GBP,iso4217:GBP,CompYearEnd_Dim004,08948140,http://www.companieshouse.gov.uk/,,,2016-03-31,
core:NetCurrentAssetsLiabilities,CurrYearEnd,GBP,0,"286,728",GBP,iso4217:GBP,CurrYearEnd,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:NetCurrentAssetsLiabilities,CurrYearStart,GBP,0,"87,001",GBP,iso4217:GBP,CurrYearStart,08948140,http://www.companieshouse.gov.uk/,,,2016-03-31,
core:NetAssetsLiabilities,CurrYearEnd,GBP,0,"288,027",GBP,iso4217:GBP,CurrYearEnd,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:NetAssetsLiabilities,CurrYearStart,GBP,0,"87,001",GBP,iso4217:GBP,CurrYearStart,08948140,http://www.companieshouse.gov.uk/,,,2016-03-31,
core:Equity,CurrYearEnd_Dim005,GBP,0,100,GBP,iso4217:GBP,CurrYearEnd_Dim005,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:Equity,CompYearEnd_Dim006,GBP,0,100,GBP,iso4217:GBP,CompYearEnd_Dim006,08948140,http://www.companieshouse.gov.uk/,,,2016-03-31,
core:Equity,CurrYearEnd_Dim007,GBP,0,"287,927",GBP,iso4217:GBP,CurrYearEnd_Dim007,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:Equity,CompYearEnd_Dim008,GBP,0,"86,901",GBP,iso4217:GBP,CompYearEnd_Dim008,08948140,http://www.companieshouse.gov.uk/,,,2016-03-31,
core:Equity,CurrYearEnd,GBP,0,"288,027",GBP,iso4217:GBP,CurrYearEnd,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:Equity,CurrYearStart,GBP,0,"87,001",GBP,iso4217:GBP,CurrYearStart,08948140,http://www.companieshouse.gov.uk/,,,2016-03-31,
core:AdditionsOtherThanThroughBusinessCombinationsPropertyPlantEquipment,CurrYearDuration_Dim010,GBP,0,"1,482",GBP,iso4217:GBP,CurrYearDuration_Dim010,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
core:PropertyPlantEquipmentGrossCost,CurrYearEnd_Dim011,GBP,0,"1,482",GBP,iso4217:GBP,CurrYearEnd_Dim011,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:IncreaseFromDepreciationChargeForYearPropertyPlantEquipment,CurrYearDuration_Dim010,GBP,0,183,GBP,iso4217:GBP,CurrYearDuration_Dim010,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
core:AccumulatedDepreciationImpairmentPropertyPlantEquipment,CurrYearEnd_Dim011,GBP,0,183,GBP,iso4217:GBP,CurrYearEnd_Dim011,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:PropertyPlantEquipment,CurrYearEnd_Dim011,GBP,0,"1,299",GBP,iso4217:GBP,CurrYearEnd_Dim011,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:OtherDebtors,CurrYearEnd,GBP,0,"145,146",GBP,iso4217:GBP,CurrYearEnd,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:OtherDebtors,CurrYearStart,GBP,0,"109,326",GBP,iso4217:GBP,CurrYearStart,08948140,http://www.companieshouse.gov.uk/,,,2016-03-31,
core:CorporationTaxPayable,CurrYearEnd_Dim003,GBP,0,"56,154",GBP,iso4217:GBP,CurrYearEnd_Dim003,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:CorporationTaxPayable,CompYearEnd_Dim004,GBP,0,"21,725",GBP,iso4217:GBP,CompYearEnd_Dim004,08948140,http://www.companieshouse.gov.uk/,,,2016-03-31,
core:OtherTaxationSocialSecurityPayable,CurrYearEnd_Dim003,GBP,0,"5,656",GBP,iso4217:GBP,CurrYearEnd_Dim003,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:OtherCreditors,CurrYearEnd_Dim003,GBP,0,"7,395",GBP,iso4217:GBP,CurrYearEnd_Dim003,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:OtherCreditors,CompYearEnd_Dim004,GBP,0,600,GBP,iso4217:GBP,CompYearEnd_Dim004,08948140,http://www.companieshouse.gov.uk/,,,2016-03-31,
core:Creditors,CurrYearEnd_Dim003,GBP,0,"69,205",GBP,iso4217:GBP,CurrYearEnd_Dim003,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:Creditors,CompYearEnd_Dim004,GBP,0,"22,325",GBP,iso4217:GBP,CompYearEnd_Dim004,08948140,http://www.companieshouse.gov.uk/,,,2016-03-31,
bus:UKCompaniesHouseRegisteredNumber,CurrYearDuration,,,08948140,,,CurrYearDuration,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
bus:EntityCurrentLegalOrRegisteredName,CurrYearDuration,,,FINANCE ADVICE CENTRE LIMITED,,,CurrYearDuration,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
bus:ReportTitle,CurrYearDuration,,,REPORT AND ACCOUNTS,,,CurrYearDuration,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
bus:EntityCurrentLegalOrRegisteredName,CurrYearDuration,,,FINANCE ADVICE CENTRE LIMITED,,,CurrYearDuration,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
bus:UKCompaniesHouseRegisteredNumber,CurrYearDuration,,,08948140,,,CurrYearDuration,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
bus:BalanceSheetDate,CurrYearEnd,,,31 March 2017,,,CurrYearEnd,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
direp:StatementThatCompanyEntitledToExemptionFromAuditUnderSection477CompaniesAct2006RelatingToSmallCompanies,CurrYearDuration,,,The director is satisfied that the company is entitled to exemption from the requirement to obtain an audit under section 477 of the Companies Act 2006.,,,CurrYearDuration,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
direp:StatementThatMembersHaveNotRequiredCompanyToObtainAnAudit,CurrYearDuration,,,The members have not required the company to obtain an audit in accordance with section 476 of the Act.,,,CurrYearDuration,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
direp:StatementThatDirectorsAcknowledgeTheirResponsibilitiesUnderCompaniesAct,CurrYearDuration,,,The director acknowledges his responsibilities for complying with the requirements of the Companies Act 2006 with respect to accounting records and the preparation of accounts.,,,CurrYearDuration,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
direp:StatementThatAccountsHaveBeenPreparedInAccordanceWithProvisionsSmallCompaniesRegime,CurrYearDuration,,,The accounts have been prepared and delivered in accordance with the special provisions applicable to companies subject to the small companies regime. The profit and loss account has not been delivered to the Registrar of Companies.,,,CurrYearDuration,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
core:DateAuthorisationFinancialStatementsForIssue,CurrYearEnd,,,23 May 2017,,,CurrYearEnd,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
bus:EntityCurrentLegalOrRegisteredName,CurrYearDuration,,,FINANCE ADVICE CENTRE LIMITED,,,CurrYearDuration,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
bus:EndDateForPeriodCoveredByReport,CurrYearEnd,,,31 March 2017,,,CurrYearEnd,08948140,http://www.companieshouse.gov.uk/,,,2017-03-31,
core:StatementComplianceWithApplicableReportingFramework,CurrYearDuration,,,The accounts have been prepared under the historical cost convention and in accordance with FRS 102 Section 1A small entities.,,,CurrYearDuration,08948140,http://www.companieshouse.gov.uk/,2016-04-01,2017-03-31,,
