Constituent,Index_Weight_Percent,Country
3i Group,1.69,UNITED KINGDOM
Admiral Group,0.37,UNITED KINGDOM
Airtel Africa,0.07,UNITED KINGDOM
Alliance Witan,0.22,UNITED KINGDOM
Anglo American,1.3,UNITED KINGDOM
Antofagasta,0.41,UNITED KINGDOM
Ashtead Group,0.93,UNITED KINGDOM
Associated British Foods,0.26,UNITED KINGDOM
AstraZeneca,7.37,UNITED KINGDOM
Auto Trader Group,0.3,UNITED KINGDOM
Aviva,0.92,UNITED KINGDOM
Babcock International Group,0.29,UNITED KINGDOM
BAE Systems,2.72,UNITED KINGDOM
Barclays,2.35,UNITED KINGDOM
Barratt Redrow,0.23,UNITED KINGDOM
Beazley,0.24,UNITED KINGDOM
Berkeley Group Holdings,0.16,UNITED KINGDOM
BP,2.98,UNITED KINGDOM
British American Tobacco,3.48,UNITED KINGDOM
BT Group,0.47,UNITED KINGDOM
Bunzl,0.33,UNITED KINGDOM
Burberry Group,0.18,UNITED KINGDOM
Centrica,0.35,UNITED KINGDOM
Coca-Cola Europacific Partners,0.64,UNITED KINGDOM
Coca-Cola HBC AG,0.31,UNITED KINGDOM
Compass Group,1.89,UNITED KINGDOM
ConvaTec Group,0.17,UNITED KINGDOM
Croda International,0.16,UNITED KINGDOM
DCC,0.21,UNITED KINGDOM
Diageo,1.74,UNITED KINGDOM
Diploma,0.31,UNITED KINGDOM
Easyjet,0.13,UNITED KINGDOM
Endeavour Mining,0.26,UNITED KINGDOM
Entain,0.23,UNITED KINGDOM
Experian,1.5,UNITED KINGDOM
F&C Investment Trust,0.25,UNITED KINGDOM
Fresnillo,0.19,UNITED KINGDOM
Games Workshop Group,0.21,UNITED KINGDOM
Glencore,1.61,UNITED KINGDOM
GSK,2.8,UNITED KINGDOM
Haleon,1.32,UNITED KINGDOM
Halma,0.57,UNITED KINGDOM
Hikma Pharmaceuticals,0.11,UNITED KINGDOM
Hiscox,0.2,UNITED KINGDOM
Howden Joinery Group,0.2,UNITED KINGDOM
HSBC Holdings,7.99,UNITED KINGDOM
ICG,0.27,UNITED KINGDOM
IMI,0.24,UNITED KINGDOM
Imperial Brands,1.06,UNITED KINGDOM
Informa,0.53,UNITED KINGDOM
InterContinental Hotels Group,0.58,UNITED KINGDOM
International Consolidated Airlines Group,0.58,UNITED KINGDOM
Intertek Group,0.32,UNITED KINGDOM
JD Sports Fashion,0.1,UNITED KINGDOM
Kingfisher,0.24,UNITED KINGDOM
Land Securities Group,0.19,UNITED KINGDOM
Legal & General Group,0.59,UNITED KINGDOM
Lloyds Banking Group,2.22,UNITED KINGDOM
London Stock Exchange Group,1.89,UNITED KINGDOM
LondonMetric Property,0.18,UNITED KINGDOM
M&G,0.26,UNITED KINGDOM
Marks & Spencer Group,0.33,UNITED KINGDOM
Melrose Industries,0.34,UNITED KINGDOM
Metlen Energy & Metals,0.19,UNITED KINGDOM
Mondi,0.2,UNITED KINGDOM
National Grid,2.32,UNITED KINGDOM
Natwest Group,1.85,UNITED KINGDOM
Next,0.63,UNITED KINGDOM
Pearson,0.3,UNITED KINGDOM
Pershing Square Holdings,0.26,UNITED KINGDOM
Persimmon,0.16,UNITED KINGDOM
Phoenix Group Holdings,0.21,UNITED KINGDOM
Polar Capital Technology Trust,0.22,UNITED KINGDOM
Prudential,1.18,UNITED KINGDOM
Reckitt Benckiser Group,1.71,UNITED KINGDOM
RELX,2.88,UNITED KINGDOM
Rentokil Initial,0.41,UNITED KINGDOM
Rightmove,0.24,UNITED KINGDOM
Rio Tinto,2.22,UNITED KINGDOM
Rolls-Royce Holdings,4.44,UNITED KINGDOM
Sage Group,0.46,UNITED KINGDOM
Sainsbury (J),0.25,UNITED KINGDOM
Schroders,0.12,UNITED KINGDOM
Scottish Mortgage Inv Tst,0.57,UNITED KINGDOM
Segro,0.39,UNITED KINGDOM
Severn Trent,0.3,UNITED KINGDOM
Shell,6.84,UNITED KINGDOM
Smith & Nephew,0.52,UNITED KINGDOM
Smiths Group,0.35,UNITED KINGDOM
Spirax Group,0.22,UNITED KINGDOM
SSE,0.85,UNITED KINGDOM
St. James's Place,0.29,UNITED KINGDOM
Standard Chartered,1.17,UNITED KINGDOM
Tesco,1.25,UNITED KINGDOM
Unilever,4.67,UNITED KINGDOM
United Utilities Group,0.34,UNITED KINGDOM
Vodafone Group,0.72,UNITED KINGDOM
Weir Group,0.31,UNITED KINGDOM
Whitbread,0.25,UNITED KINGDOM
WPP,0.17,UNITED KINGDOM
