name,contextRef,unitRef,decimals,value,measure,entity_identifier,entity_scheme,start_date,end_date,instant,scenario,domain
frs-core:PropertyPlantEquipment,CURRENT_FY_END,GBP,0,"6,425",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:PropertyPlantEquipment,PREVIOUS_FY_END,GBP,0,"6,680",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
frs-core:FixedAssets,CURRENT_FY_END,GBP,0,"6,425",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:FixedAssets,PREVIOUS_FY_END,GBP,0,"6,680",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
frs-core:Debtors,CURRENT_FY_END,GBP,0,"145,228",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:Debtors,PREVIOUS_FY_END,GBP,0,"339,330",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
frs-core:CashBankOnHand,CURRENT_FY_END,GBP,0,"415,684",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:CashBankOnHand,PREVIOUS_FY_END,GBP,0,"422,936",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
frs-core:CurrentAssets,CURRENT_FY_END,GBP,0,"560,912",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:CurrentAssets,PREVIOUS_FY_END,GBP,0,"762,266",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
frs-core:Creditors,CURRENT_FY_END,GBP,0,"252,191",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:Creditors,PREVIOUS_FY_END,GBP,0,"232,179",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
frs-core:NetCurrentAssetsLiabilities,CURRENT_FY_END,GBP,0,"308,721",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:NetCurrentAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"530,087",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
frs-core:TotalAssetsLessCurrentLiabilities,CURRENT_FY_END,GBP,0,"315,146",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:TotalAssetsLessCurrentLiabilities,PREVIOUS_FY_END,GBP,0,"536,767",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
frs-core:NetAssetsLiabilities,CURRENT_FY_END,GBP,0,"315,146",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:NetAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"536,767",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
frs-core:Equity,CURRENT_FY_END_ShareCapital,GBP,0,100,iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:Equity,PREVIOUS_FY_END_ShareCapital,GBP,0,100,iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
frs-core:Equity,CURRENT_FY_END_RetainedEarningsAccumulatedLosses,GBP,0,"315,046",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2023-03-31,,frs-core
frs-core:Equity,PREVIOUS_FY_END_RetainedEarningsAccumulatedLosses,GBP,0,"536,667",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START_FurnitureFittings,GBP,0,"6,001",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START_ComputerEquipment,GBP,0,"18,321",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
frs-core:PropertyPlantEquipmentGrossCost,CURRENT_FY_START,GBP,0,"24,322",iso4217:GBP,08948140,http://www.companieshouse.gov.uk/,,,2022-03-31,,frs-core
