id,question,entity_name,year,metric,segment,ground_truth_value,fake_value
2,What was AstraZeneca's revenue from the sale of goods in the year 2022?,AstraZeneca,2022,Revenue From Sale Of Goods,Income_Statement,42998000000.0,39238042691.03
3,What was the Revenue From Sale Of Goods for AstraZeneca in the year 2021?,AstraZeneca,2021,Revenue From Sale Of Goods,Income_Statement,36541000000.0,32321995148.37
4,What was AstraZeneca's Revenue From Sale Of Goods in the year 2020?,AstraZeneca,2020,Revenue From Sale Of Goods,Income_Statement,25890000000.0,29472229874.2
5,What was AstraZeneca's Collaboration Revenue for the year 2022?,AstraZeneca,2022,Collaboration Revenue,Company_Specific_Metric,1353000000.0,1161834398.73
6,What was AstraZeneca's Collaboration Revenue for the year 2021?,AstraZeneca,2021,Collaboration Revenue,Company_Specific_Metric,876000000.0,962466194.5
7,What was the amount of 'Collaboration Revenue' reported by AstraZeneca in the year 2020?,AstraZeneca,2020,Collaboration Revenue,Company_Specific_Metric,727000000.0,778242529.35
8,What was AstraZeneca's total revenue for the year 2022?,AstraZeneca,2022,Revenue,Income_Statement,44351000000.0,45686630923.37
9,What was AstraZeneca's reported revenue for the year 2021?,AstraZeneca,2021,Revenue,Income_Statement,37417000000.0,37334067965.53
10,What was AstraZeneca's reported revenue for the year 2020?,AstraZeneca,2020,Revenue,Income_Statement,26617000000.0,24740073059.27
14,What was the Gross Profit reported by AstraZeneca for the year 2022?,AstraZeneca,2022,Gross Profit,Income_Statement,31960000000.0,30028478573.85
15,What was AstraZeneca's Gross Profit for the year 2021?,AstraZeneca,2021,Gross Profit,Income_Statement,24980000000.0,21269671103.67
16,What was AstraZeneca's Gross Profit for the year 2020?,AstraZeneca,2020,Gross Profit,Income_Statement,21318000000.0,21792515695.27
20,What was AstraZeneca's Research And Development Expense for the year 2022?,AstraZeneca,2022,Research And Development Expense,Income_Statement,9762000000.0,9875903039.4
21,What was AstraZeneca's Research And Development Expense in the year 2021?,AstraZeneca,2021,Research And Development Expense,Income_Statement,9736000000.0,10450411062.08
22,What was the amount reported by AstraZeneca for their Research And Development Expense in the year 2020?,AstraZeneca,2020,Research And Development Expense,Income_Statement,5991000000.0,6227228989.47
23,What was the Selling General And Administrative Expense for AstraZeneca in the year 2022?,AstraZeneca,2022,Selling General And Administrative Expense,Income_Statement,18419000000.0,20780850506.62
24,What was AstraZeneca's Selling General And Administrative Expense in 2021?,AstraZeneca,2021,Selling General And Administrative Expense,Income_Statement,15234000000.0,15015863982.29
25,What was AstraZeneca's Selling General And Administrative Expense for the year 2020?,AstraZeneca,2020,Selling General And Administrative Expense,Income_Statement,11294000000.0,9874230419.06
26,What was AstraZeneca's 'Other Operating Income Expense' for the year 2022?,AstraZeneca,2022,Other Operating Income Expense,Income_Statement,514000000.0,437664416.24
27,What was AstraZeneca's Other Operating Income Expense for the year 2021?,AstraZeneca,2021,Other Operating Income Expense,Income_Statement,1492000000.0,1357200844.28
28,What was AstraZeneca's Other Operating Income Expense in the year 2020?,AstraZeneca,2020,Other Operating Income Expense,Income_Statement,1528000000.0,1407312495.57
29,What was the 'Profit Loss From Operating Activities' reported by AstraZeneca for the year 2022?,AstraZeneca,2022,Profit Loss From Operating Activities,Cash_Flow,3757000000.0,3217811285.77
30,What was AstraZeneca's Profit Loss From Operating Activities in the year 2021?,AstraZeneca,2021,Profit Loss From Operating Activities,Cash_Flow,1056000000.0,1088863705.27
31,What was the Profit Loss From Operating Activities reported by AstraZeneca in the year 2020?,AstraZeneca,2020,Profit Loss From Operating Activities,Cash_Flow,5162000000.0,5810729728.48
32,What was the Finance Income reported by AstraZeneca for the year 2022?,AstraZeneca,2022,Finance Income,Income_Statement,95000000.0,80988513.22
33,What was AstraZeneca's Finance Income in the year 2021?,AstraZeneca,2021,Finance Income,Income_Statement,43000000.0,37240618.6
34,What was the Finance Income reported by AstraZeneca in the year 2020?,AstraZeneca,2020,Finance Income,Income_Statement,87000000.0,98773590.64
38,What was the Share Of Profit Loss Of Associates And Joint Ventures Accounted For Using Equity Method for AstraZeneca in the year 2022?,AstraZeneca,2022,Share Of Profit Loss Of Associates And Joint Ventures Accounted For Using Equity Method,Balance_Sheet,-5000000.0,-4508262.56
39,What was the reported Share Of Profit Loss Of Associates And Joint Ventures Accounted For Using Equity Method for AstraZeneca in the year 2021?,AstraZeneca,2021,Share Of Profit Loss Of Associates And Joint Ventures Accounted For Using Equity Method,Balance_Sheet,-64000000.0,-60526291.48
40,What was the Share Of Profit Loss Of Associates And Joint Ventures Accounted For Using Equity Method for AstraZeneca in the year 2020?,AstraZeneca,2020,Share Of Profit Loss Of Associates And Joint Ventures Accounted For Using Equity Method,Balance_Sheet,-27000000.0,-25113786.44
41,What was AstraZeneca's Profit Loss Before Tax for the year 2022?,AstraZeneca,2022,Profit Loss Before Tax,Income_Statement,2501000000.0,2188813252.02
42,What was the 'Profit Loss Before Tax' figure for AstraZeneca in the year 2021?,AstraZeneca,2021,Profit Loss Before Tax,Income_Statement,-265000000.0,-280160373.21
43,What was AstraZeneca's Profit Loss Before Tax for the year 2020?,AstraZeneca,2020,Profit Loss Before Tax,Income_Statement,3916000000.0,4025375865.1
44,What was the Income Tax Expense Continuing Operations for AstraZeneca in the year 2022?,AstraZeneca,2022,Income Tax Expense Continuing Operations,Income_Statement,-792000000.0,-718784574.09
45,What was the Income Tax Expense for AstraZeneca's Continuing Operations in the year 2021?,AstraZeneca,2021,Income Tax Expense Continuing Operations,Income_Statement,-380000000.0,-409318371.66
46,What was AstraZeneca's Income Tax Expense for Continuing Operations in the year 2020?,AstraZeneca,2020,Income Tax Expense Continuing Operations,Income_Statement,772000000.0,656851767.73
47,What was the Profit Loss reported by AstraZeneca in the year 2022?,AstraZeneca,2022,Profit Loss,Income_Statement,3293000000.0,2900598167.68
48,What was the Profit Loss reported by AstraZeneca in the year 2021?,AstraZeneca,2021,Profit Loss,Income_Statement,115000000.0,97844208.41
49,What was the Profit Loss amount for AstraZeneca in the year 2020?,AstraZeneca,2020,Profit Loss,Income_Statement,3144000000.0,3615423186.93
50,What was AstraZeneca's Other Comprehensive Income Before Tax Gains Losses On Remeasurements Of Defined Benefit Plans for the year 2022?,AstraZeneca,2022,Other Comprehensive Income Before Tax Gains Losses On Remeasurements Of Defined Benefit Plans,Income_Statement,1118000000.0,1202208587.64
51,What was AstraZeneca's Other Comprehensive Income Before Tax Gains Losses On Remeasurements Of Defined Benefit Plans for the year 2021?,AstraZeneca,2021,Other Comprehensive Income Before Tax Gains Losses On Remeasurements Of Defined Benefit Plans,Income_Statement,626000000.0,663407948.11
52,What was AstraZeneca's Other Comprehensive Income Before Tax Gains Losses On Remeasurements Of Defined Benefit Plans for the year 2020?,AstraZeneca,2020,Other Comprehensive Income Before Tax Gains Losses On Remeasurements Of Defined Benefit Plans,Income_Statement,-168000000.0,-162277412.72
53,What was the 'Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments' for AstraZeneca in the year 2022?,AstraZeneca,2022,Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments,Balance_Sheet,-88000000.0,-76231300.43
54,What was AstraZeneca's Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments in 2021?,AstraZeneca,2021,Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments,Balance_Sheet,-187000000.0,-159933508.62
55,What was the 'Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments' reported by AstraZeneca in the year 2020?,AstraZeneca,2020,Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments,Balance_Sheet,938000000.0,1057137070.9
56,What was the 'Other Comprehensive Income Before Tax Change In Fair Value Of Financial Liability Attributable To Change In Credit Risk Of Liability' reported by AstraZeneca in 2022?,AstraZeneca,2022,Other Comprehensive Income Before Tax Change In Fair Value Of Financial Liability Attributable To Change In Credit Risk Of Liability,Balance_Sheet,2000000.0,1867822.36
57,What was the Other Comprehensive Income Before Tax Change In Fair Value Of Financial Liability Attributable To Change In Credit Risk Of Liability for AstraZeneca in the year 2021?,AstraZeneca,2021,Other Comprehensive Income Before Tax Change In Fair Value Of Financial Liability Attributable To Change In Credit Risk Of Liability,Balance_Sheet,0.0,-0.19
58,What was the value of 'Other Comprehensive Income Before Tax Change In Fair Value Of Financial Liability Attributable To Change In Credit Risk Of Liability' reported by AstraZeneca in 2020?,AstraZeneca,2020,Other Comprehensive Income Before Tax Change In Fair Value Of Financial Liability Attributable To Change In Credit Risk Of Liability,Balance_Sheet,-1000000.0,-1001841.63
