id,model,question,ground_truth,fake_value,answer_rag,answer_knowledge,answer_adversarial,rag_accuracy,knowledge_accuracy,hallucinated,adversarial_correct
1237,deepseek-ai/DeepSeek-R1-0528,What was the value of 'Gain Loss On Disposal Of Interest In Associate' for GSK in the year 2022?,0.0,-0.48,...,,,False,False,False,False
1237,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the value of 'Gain Loss On Disposal Of Interest In Associate' for GSK in the year 2022?,0.0,0.89,0.0,UNKNOWN,UNKNOWN,True,False,False,False
1362,deepseek-ai/DeepSeek-R1-0528,What was the amount reported for 'Investment Accounted For Using Equity Method' by GSK in the year 2022?,74000000.0,67011431.29,...,,,False,False,False,False
1362,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the amount reported for 'Investment Accounted For Using Equity Method' by GSK in the year 2022?,74000000.0,70172582.88,74000000.0,UNKNOWN,UNKNOWN,True,False,False,False
1745,deepseek-ai/DeepSeek-R1-0528,What was GSK's Other Operating Income Expense for the year 2023?,-363000000.0,-377242624.53,...,,,False,False,False,False
1745,Qwen/Qwen3-235B-A22B-Instruct-2507,What was GSK's Other Operating Income Expense for the year 2023?,-363000000.0,-319445666.99,-363000000.0,UNKNOWN,UNKNOWN,True,False,False,False
2153,deepseek-ai/DeepSeek-R1-0528,What was the amount of Cash Flows From Used In Operating Activities Continuing Operations reported by GSK in 2024?,6554000000.0,6668914419.26,...,,,False,False,False,False
2153,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the amount of Cash Flows From Used In Operating Activities Continuing Operations reported by GSK in 2024?,6554000000.0,5714265282.25,6554000000.0,UNKNOWN,UNKNOWN,True,False,False,False
695,deepseek-ai/DeepSeek-R1-0528,What was the Contingent Consideration Fair Value Movement for AstraZeneca in the year 2023?,549000000.0,595747225.03,...,,,False,False,False,False
695,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the Contingent Consideration Fair Value Movement for AstraZeneca in the year 2023?,549000000.0,499890140.58,549000000.0,UNKNOWN,UNKNOWN,True,False,False,False
227,deepseek-ai/DeepSeek-R1-0528,What were AstraZeneca's Noncurrent Liabilities for the year 2022?,33132000000.0,36575443457.72,,,,False,False,False,False
227,Qwen/Qwen3-235B-A22B-Instruct-2507,What were AstraZeneca's Noncurrent Liabilities for the year 2022?,33132000000.0,28855071398.65,33132000000.0,UNKNOWN,UNKNOWN,True,False,False,False
2182,deepseek-ai/DeepSeek-R1-0528,What was the amount reported by GSK for Proceeds From Sales Of Investments Accounted For Using Equity Method in the year 2024?,0.0,-0.85,,,,False,False,False,False
2182,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the amount reported by GSK for Proceeds From Sales Of Investments Accounted For Using Equity Method in the year 2024?,0.0,-0.25,0.0,UNKNOWN,UNKNOWN,True,False,False,False
2075,deepseek-ai/DeepSeek-R1-0528,What was GSK's Comprehensive Income for the year 2024?,2778000000.0,2809474938.51,...,,,False,False,False,False
2075,Qwen/Qwen3-235B-A22B-Instruct-2507,What was GSK's Comprehensive Income for the year 2024?,2778000000.0,2864155517.28,2778000000.0,UNKNOWN,UNKNOWN,True,False,False,False
689,deepseek-ai/DeepSeek-R1-0528,What was the amount reported by AstraZeneca for Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss in the year 2021?,6530000000.0,6810119037.92,,,,False,False,False,False
689,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the amount reported by AstraZeneca for Adjustments For Depreciation And Amortisation Expense And Impairment Loss Reversal Of Impairment Loss Recognised In Profit Or Loss in the year 2021?,6530000000.0,6092863775.58,6530000000.0,UNKNOWN,UNKNOWN,True,False,False,False
115,deepseek-ai/DeepSeek-R1-0528,What was the Diluted Earnings Loss Per Share for AstraZeneca in the year 2020?,2.44,2.17,,,,False,False,False,False
115,Qwen/Qwen3-235B-A22B-Instruct-2507,What was the Diluted Earnings Loss Per Share for AstraZeneca in the year 2020?,2.44,2.33,2.44,UNKNOWN,UNKNOWN,True,False,False,False
