entity,year,question,ground_truth,model,provider,model_answer,confidence,reasoning,full_answer
GSK,2022,What was the Gain Loss On Disposal Of Interest In Associate for GSK in the year 2022?,0.0,llama-3.3-70b-versatile,groq,0.0,100,"The financial statement explicitly states the Gain Loss On Disposal Of Interest In Associate for GSK in 2022 as 0.0, leaving no room for uncertainty.","{'answer': '0.0', 'confidence': 100, 'reasoning': 'The financial statement explicitly states the Gain Loss On Disposal Of Interest In Associate for GSK in 2022 as 0.0, leaving no room for uncertainty.'}"
GSK,2022,What was the Gain Loss On Disposal Of Interest In Associate for GSK in the year 2022?,0.0,openai/gpt-oss-120b,groq,0.0,98,"The consolidated statement of cash flows for GSK 2022 explicitly lists 'Gain Loss On Disposal Of Interest In Associate: 0.0', providing a direct figure.","{
  ""answer"": ""0.0"",
  ""confidence"": 98,
  ""reasoning"": ""The consolidated statement of cash flows for GSK 2022 explicitly lists 'Gain Loss On Disposal Of Interest In Associate: 0.0', providing a direct figure.""
}"
GSK,2022,What was the amount reported by GSK for 'Investment Accounted For Using Equity Method' in the year 2022?,74000000.0,llama-3.3-70b-versatile,groq,74000000.0,100,The amount is directly stated in the provided financial statement excerpt from GSK's 2022 consolidated balance sheet.,"{'answer': '74000000.0', 'confidence': 100, 'reasoning': 'The amount is directly stated in the provided financial statement excerpt from GSK\'s 2022 consolidated balance sheet.'}"
GSK,2022,What was the amount reported by GSK for 'Investment Accounted For Using Equity Method' in the year 2022?,74000000.0,openai/gpt-oss-120b,groq,74000000.0,95,"The consolidated balance sheet excerpt explicitly lists 'Investment Accounted For Using Equity Method: 74000000.0' for GSK in 2022, providing a direct figure.","{
  ""answer"": ""74000000.0"",
  ""confidence"": 95,
  ""reasoning"": ""The consolidated balance sheet excerpt explicitly lists 'Investment Accounted For Using Equity Method: 74000000.0' for GSK in 2022, providing a direct figure.""
}"
GSK,2023,What was the reported 'Other Operating Income Expense' for GSK in the year 2023?,-363000000.0,llama-3.3-70b-versatile,groq,-363000000.0,100,The value is directly stated in the provided financial statement as the Other Operating Income Expense for GSK in 2023.,"{'answer': '-363000000.0', 'confidence': 100, 'reasoning': 'The value is directly stated in the provided financial statement as the Other Operating Income Expense for GSK in 2023.'}"
GSK,2023,What was the reported 'Other Operating Income Expense' for GSK in the year 2023?,-363000000.0,openai/gpt-oss-120b,groq,-363000000.0,95,"The consolidated income statement excerpt explicitly lists 'Other Operating Income Expense' as -363000000.0 for GSK in 2023, so the figure is directly taken from the provided data.","{
  ""answer"": -363000000.0,
  ""confidence"": 95,
  ""reasoning"": ""The consolidated income statement excerpt explicitly lists 'Other Operating Income Expense' as -363000000.0 for GSK in 2023, so the figure is directly taken from the provided data.""
}"
GSK,2024,What was GSK's Cash Flows From Used In Operating Activities Continuing Operations for the year 2024?,6554000000.0,llama-3.3-70b-versatile,groq,6554000000.0,100,The value is directly stated in the provided financial statement as Cash Flows From Used In Operating Activities Continuing Operations for GSK in 2024.,"{'answer': '6554000000.0', 'confidence': 100, 'reasoning': 'The value is directly stated in the provided financial statement as Cash Flows From Used In Operating Activities Continuing Operations for GSK in 2024.'}"
GSK,2024,What was GSK's Cash Flows From Used In Operating Activities Continuing Operations for the year 2024?,6554000000.0,openai/gpt-oss-120b,groq,6554000000.0,95,"The consolidated statement of cash flows for GSK 2024 explicitly lists 'Cash Flows From Used In Operating Activities Continuing Operations' as 6554000000.0, which directly answers the question.","{
  ""answer"": ""6,554,000,000.0"",
  ""confidence"": 95,
  ""reasoning"": ""The consolidated statement of cash flows for GSK 2024 explicitly lists 'Cash Flows From Used In Operating Activities Continuing Operations' as 6554000000.0, which directly answers the question.""
}"
AstraZeneca,2023,What was the Contingent Consideration Fair Value Movement reported by AstraZeneca for the year 2023?,549000000.0,llama-3.3-70b-versatile,groq,549000000.0,100,The Contingent Consideration Fair Value Movement is directly stated in the provided financial statement as 549000000.0 for AstraZeneca in 2023.,"{'answer': '549000000.0', 'confidence': 100, 'reasoning': 'The Contingent Consideration Fair Value Movement is directly stated in the provided financial statement as 549000000.0 for AstraZeneca in 2023.'}"
AstraZeneca,2023,What was the Contingent Consideration Fair Value Movement reported by AstraZeneca for the year 2023?,549000000.0,openai/gpt-oss-120b,groq,549000000.0,95,"The financial statement excerpt explicitly lists the Contingent Consideration Fair Value Movement for AstraZeneca in 2023 as 549000000.0, so the figure is directly provided.","{
  ""answer"": ""549000000.0"",
  ""confidence"": 95,
  ""reasoning"": ""The financial statement excerpt explicitly lists the Contingent Consideration Fair Value Movement for AstraZeneca in 2023 as 549000000.0, so the figure is directly provided.""
}"
