question,answer,reasoning
"Given the financial statements and disclosures for GSK in the fiscal year 2022, calculate the reported value for 'Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments'. Consider all relevant adjustments, including any restatements, non-recurring items, and footnote disclosures. What is the final value reported for this metric?",-911000000.0,"To answer this question, the analyst must thoroughly review the financial statements, identify the 'Other Comprehensive Income Before Tax Gains Losses From Investments In Equity Instruments' metric, and account for any adjustments or disclosures that may affect the reported value. The correct answer is '-911000000.0', as this is the value reported after considering all relevant factors."
"Given the financial statements and disclosures for AstraZeneca in the fiscal year 2023, calculate the reported value for 'Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax'. Consider all relevant adjustments, including any restatements, non-recurring items, and footnote disclosures. What is the final value reported for this metric?",816000000.0,"To answer this question, the analyst must thoroughly review the financial statements, identify the 'Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax' metric, and account for any adjustments or disclosures that may affect the reported value. The correct answer is '816000000.0', as this is the value reported after considering all relevant factors."
"Given the financial statements and disclosures for AstraZeneca in the fiscal year 2020, calculate the reported value for 'Equity'. Consider all relevant adjustments, including any restatements, non-recurring items, and footnote disclosures. What is the final value reported for this metric?",14596000000.0,"To answer this question, the analyst must thoroughly review the financial statements, identify the 'Equity' metric, and account for any adjustments or disclosures that may affect the reported value. The correct answer is '14596000000.0', as this is the value reported after considering all relevant factors."
"Given the financial statements and disclosures for GSK in the fiscal year 2022, calculate the reported value for 'Purchase Of Businesses Net Of Cash Acquired'. Consider all relevant adjustments, including any restatements, non-recurring items, and footnote disclosures. What is the final value reported for this metric?",0.0,"To answer this question, the analyst must thoroughly review the financial statements, identify the 'Purchase Of Businesses Net Of Cash Acquired' metric, and account for any adjustments or disclosures that may affect the reported value. The correct answer is '0.0', as this is the value reported after considering all relevant factors."
"Given the financial statements and disclosures for GSK in the fiscal year 2022, calculate the reported value for 'Equity'. Consider all relevant adjustments, including any restatements, non-recurring items, and footnote disclosures. What is the final value reported for this metric?",7944000000.0,"To answer this question, the analyst must thoroughly review the financial statements, identify the 'Equity' metric, and account for any adjustments or disclosures that may affect the reported value. The correct answer is '7944000000.0', as this is the value reported after considering all relevant factors."
"Given the financial statements and disclosures for GSK in the fiscal year 2024, calculate the reported value for 'Deferred Tax Liabilities'. Consider all relevant adjustments, including any restatements, non-recurring items, and footnote disclosures. What is the final value reported for this metric?",311000000.0,"To answer this question, the analyst must thoroughly review the financial statements, identify the 'Deferred Tax Liabilities' metric, and account for any adjustments or disclosures that may affect the reported value. The correct answer is '311000000.0', as this is the value reported after considering all relevant factors."
"Given the financial statements and disclosures for GSK in the fiscal year 2021, calculate the reported value for 'Cash From Used In Operations Before Tax Discontinued Operations'. Consider all relevant adjustments, including any restatements, non-recurring items, and footnote disclosures. What is the final value reported for this metric?",2422000000.0,"To answer this question, the analyst must thoroughly review the financial statements, identify the 'Cash From Used In Operations Before Tax Discontinued Operations' metric, and account for any adjustments or disclosures that may affect the reported value. The correct answer is '2422000000.0', as this is the value reported after considering all relevant factors."
"Given the financial statements and disclosures for GSK in the fiscal year 2024, calculate the reported value for 'Other Noncurrent Assets'. Consider all relevant adjustments, including any restatements, non-recurring items, and footnote disclosures. What is the final value reported for this metric?",1584000000.0,"To answer this question, the analyst must thoroughly review the financial statements, identify the 'Other Noncurrent Assets' metric, and account for any adjustments or disclosures that may affect the reported value. The correct answer is '1584000000.0', as this is the value reported after considering all relevant factors."
"Given the financial statements and disclosures for AstraZeneca in the fiscal year 2024, calculate the reported value for 'Increase Decrease Through Transfer Between Other Reserves And Retained Earnings Equity'. Consider all relevant adjustments, including any restatements, non-recurring items, and footnote disclosures. What is the final value reported for this metric?",-4000000.0,"To answer this question, the analyst must thoroughly review the financial statements, identify the 'Increase Decrease Through Transfer Between Other Reserves And Retained Earnings Equity' metric, and account for any adjustments or disclosures that may affect the reported value. The correct answer is '-4000000.0', as this is the value reported after considering all relevant factors."
"Given the financial statements and disclosures for AstraZeneca in the fiscal year 2023, calculate the reported value for 'Other Comprehensive Income'. Consider all relevant adjustments, including any restatements, non-recurring items, and footnote disclosures. What is the final value reported for this metric?",0.0,"To answer this question, the analyst must thoroughly review the financial statements, identify the 'Other Comprehensive Income' metric, and account for any adjustments or disclosures that may affect the reported value. The correct answer is '0.0', as this is the value reported after considering all relevant factors."
