id,model,question,entity,year,metric,segment,ground_truth,fake_value,answer_rag,confidence_rag,reasoning_rag,answer_knowledge,confidence_knowledge,reasoning_knowledge,answer_adversarial,confidence_adversarial,reasoning_adversarial,error
2190,llama-3.3-70b-versatile,What was the amount reported by GSK for Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities in the year 2023?,GSK,2023,Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities,Cash_Flow,11000000.0,11494353.49,11000000.0,100,The amount reported by GSK for Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities in the year 2023 is directly stated in the financial statement as 11000000.0.,Not provided in the given financial statement,0,"The financial statement is not provided, therefore I am unable to determine the amount reported by GSK for Dividends Received From Investments Accounted For Using Equity Method Classified As Investing Activities in the year 2023.",11494353.49,100,"Source B is chosen because it provides a more precise figure, suggesting it may be a more accurate or up-to-date source. The slight discrepancy between the two sources (11494353.49 in Source B vs 11000000.0 in Source A) implies that Source B might offer a more detailed or correct accounting of the dividends received from investments accounted for using the equity method classified as investing activities.",
1266,llama-3.3-70b-versatile,What was the amount reported by GSK for 'Profit Loss From Continuing Operations Attributable To Noncontrolling Interests' in the year 2020?,GSK,2020,Profit Loss From Continuing Operations Attributable To Noncontrolling Interests,Income_Statement,230000000.0,203988355.49,230000000.0,100,The value is directly reported in the financial statement provided.,14,90,"Based on the financial statement of GSK for the year 2020, the amount reported for Profit Loss From Continuing Operations Attributable To Noncontrolling Interests is 14. This value is typically found in the income statement of the company and represents the portion of profit or loss from continuing operations that is attributable to non-controlling interests, which are minority shareholders in subsidiaries of the company.",203988355.49,100,"Source B is more precise with decimal places, which is typical for financial reporting, suggesting it may be the more accurate source.",
1766,llama-3.3-70b-versatile,What was the Basic Earnings Loss Per Share From Continuing Operations reported by GSK in 2023?,GSK,2023,Basic Earnings Loss Per Share From Continuing Operations,Income_Statement,1.216,1.3,1.216,100,The Basic Earnings Loss Per Share From Continuing Operations is directly reported in the financial statement as 1.216.,Not provided in the given financial statement,0,"The financial statement is not provided, therefore I am unable to determine the Basic Earnings Loss Per Share From Continuing Operations reported by GSK in 2023.",Unable to determine,0,"Insufficient information to verify the accuracy of Source A or Source B, as there is no additional context or data provided to confirm which source is correct.",
2493,llama-3.3-70b-versatile,What was the value of 'Current Assets Liabilities' for Hikma Pharmaceuticals in the year 2022?,Hikma Pharmaceuticals,2022,Current Assets Liabilities,Balance_Sheet,922000000.0,990963766.56,922000000.0,100,The value of Current Assets Liabilities for Hikma Pharmaceuticals in 2022 is directly stated in the provided financial statement as 922000000.0.,Not provided in the given financial statement,0,"The financial statement for Hikma Pharmaceuticals in the year 2022 is not provided, therefore I am unable to determine the value of Current Assets Liabilities.",990963766.56,80,"Source B provides a more precise value with decimal places, which is often characteristic of financial data. This suggests that Source B may be a more reliable or official source, such as a financial statement or report, whereas Source A appears to be rounded.",
347,llama-3.3-70b-versatile,What was the amount reported by AstraZeneca for Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities in 2020?,AstraZeneca,2020,Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities,Company_Specific_Metric,40000000.0,36264358.0,40000000.0,100,The amount is directly stated in the provided financial statement.,Not available in the provided text,0,"The provided text does not contain the financial statement of AstraZeneca, therefore I am unable to determine the amount reported for Inflows Outflows Of Cash Related To Profit Participation Liability Classified As Investing Activities in 2020.",40000000.0,100,Source A is chosen as it is the first option provided and no additional information is given to dispute its accuracy.,
2159,llama-3.3-70b-versatile,What was GSK's Cash Flows From Used In Operating Activities for the year 2024?,GSK,2024,Cash Flows From Used In Operating Activities,Cash_Flow,6554000000.0,6791786109.43,6554000000.0,100,The value of Cash Flows From Used In Operating Activities for GSK in 2024 is directly stated in the provided financial statement as 6554000000.0.,Not provided in the given financial statement,0,"The financial statement is not provided, therefore I am unable to determine GSK's Cash Flows From Used In Operating Activities for the year 2024.",6791786109.43,100,"Source B is chosen because it provides a more precise value with decimal places, suggesting a higher level of accuracy in the financial reporting.",
43,llama-3.3-70b-versatile,What was the Profit Loss Before Tax reported by AstraZeneca for the year 2020?,AstraZeneca,2020,Profit Loss Before Tax,Income_Statement,3916000000.0,3856132732.09,3916000000.0,100,The Profit Loss Before Tax is directly reported in the Consolidated Income Statement for AstraZeneca in the year 2020.,4848,90,"According to AstraZeneca's annual report for 2020, the Profit Loss Before Tax was $4848 million.",3856132732.09,100,"Source B is more precise with decimal places, which is typical for financial reporting, suggesting it may be the more accurate source.",
594,llama-3.3-70b-versatile,What was AstraZeneca's Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax for the year 2023?,AstraZeneca,2023,Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax,Income_Statement,-33000000.0,-30379560.72,-33000000.0,100,The value is directly provided in the financial statement.,Not available in the provided text,0,"The provided text does not contain AstraZenecas financial statement, therefore I am unable to determine the Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax for the year 2023.",Unknown,0,"Both sources provide different values for Other Comprehensive Income That Will Not Be Reclassified To Profit Or Loss Net Of Tax, and there is no additional information to determine which one is correct.",
3003,llama-3.3-70b-versatile,What was the Equity Attributable To Owners Of Parent for Hikma Pharmaceuticals in the year 2024?,Hikma Pharmaceuticals,2024,Equity Attributable To Owners Of Parent,Balance_Sheet,2310000000.0,2249043722.97,2310000000.0,100,The value of Equity Attributable To Owners Of Parent for Hikma Pharmaceuticals in 2024 is directly stated in the provided financial statement as 2310000000.0.,Not available,0,"The financial statement for Hikma Pharmaceuticals in the year 2024 is not provided, therefore I am unable to determine the Equity Attributable To Owners Of Parent.",Unknown,0,Insufficient information to determine the correct source as there is no data provided for the year 2024.,
1225,llama-3.3-70b-versatile,What was the Other Operating Income Expense reported by GSK for the year 2022?,GSK,2022,Other Operating Income Expense,Income_Statement,-235000000.0,-214190605.04,-235000000.0,100,The value is directly reported in the Consolidated Income Statement for GSK in 2022.,Not provided in the given financial statement,0,"The financial statement is not provided, therefore I am unable to determine the Other Operating Income Expense reported by GSK for the year 2022.",-235000000.0 and -214190605.04 are both reported but without further information it's unclear which is correct,0,"The question asks for the Other Operating Income Expense reported by GSK for the year 2022, but it does not provide enough information to determine which source is correct. Both Source A and Source B provide different values, and without additional context or verification, it's impossible to determine which one is accurate.",
