id,model,raw_output_rag,raw_output_knowledge,raw_output_adversarial,error
1237,openai/gpt-oss-120b,"{
  ""answer"": ""0.0"",
  ""confidence"": 99,
  ""reasoning"": ""The consolidated statement of cash flows for GSK in 2022 explicitly lists 'Gain Loss On Disposal Of Interest In Associate' as 0.0, indicating no gain or loss was recorded for that item.""
}",,"{
  ""answer"": ""0.95"",
  ""confidence"":",
1362,openai/gpt-oss-120b,"{
  ""answer"": ""74,000,000.0"",
  ""confidence"": 99,
  ""reasoning"": ""The consolidated balance sheet for GSK in 2022 explicitly lists 'Investment Accounted For Using Equity Method' as 74000000.0, which directly answers the question.""
}",{,,
1745,openai/gpt-oss-120b,"{
  ""answer"": ""-363000000.0"",
  ""confidence"": 98,
  ""reasoning"": ""The consolidated income statement for GSK in 2023 lists 'Other Operating Income Expense' as -363000000.0, directly providing the requested figure.""
}",,"{'answer': '-379,570,007.35 (Source B)', 'confidence': 78, 'reasoning': 'Source B provides a more precise figure with two decimal places, suggesting it is derived from the",
2153,openai/gpt-oss-120b,"{
  ""answer"": ""6,554,000,000"",
  ""confidence"": 99,
  ""reasoning"": ""The consolidated statement of cash flows for GSK in 2024 explicitly lists 'Cash Flows From Used In Operating Activities Continuing Operations' as 6554000000.0, which corresponds to 6,554,000,000.""
}","{
  ""answer"": ""The specific amount for Cash Flows From Used In Operating Activities Continuing Operations for GSK in 2024 is not publicly available in the data up to my knowledge cutoff",,
695,openai/gpt-oss-120b,"{
  ""answer"": ""549,000,000.0"",
  ""confidence"": 99,
  ""reasoning"": ""The consolidated statement of cash flows for AstraZeneca in 2023 explicitly lists the Contingent Consideration Fair Value Movement as 549000000.0.""
}","{
  ""answer"": ""The Contingent Consideration Fair Value Movement for AstraZeneca in 2023 is not available in the provided financial statement excerpt."",
  ""confidence"": 20,
  ""reasoning"": ""The request references a specific line item (Contingent Consideration Fair Value Movement) for the year 2023, but the supplied financial statement does not include that",,
227,openai/gpt-oss-120b,"{""answer"":""33,132,000,000.0"",""confidence"":95,""reasoning"":""The consolidated balance sheet for AstraZeneca in 2022 lists Noncurrent Liabilities as 33,132,000,000.0, directly providing the requested figure.""}",,,
2182,openai/gpt-oss-120b,"{
  ""answer"": ""0.0"",
  ""confidence"": 100,
  ""reasoning"": ""The consolidated balance sheet for GSK in 2024 explicitly lists 'Proceeds From Sales Of Investments Accounted For Using Equity Method' as 0.0, indicating no proceeds were reported for this item.""
}","{
  ""answer"": null,
  ""confidence"": 20,
  ""reasoning"": ""The provided prompt does not include the specific financial statement data for GSK's 2024 Proceeds From Sales Of Investments Accounted For Using Equity Method. Without access to the actual report or external",,
2075,openai/gpt-oss-120b,"{
  ""answer"": ""2778000000.0"",
  ""confidence"": 95,
  ""reasoning"": ""The consolidated income statement for GSK in 2024 explicitly lists the Comprehensive Income as 2,778,000,000.0, which directly answers the question.""
}","{
  ""answer"": ""The comprehensive income for GSK for the year 2024 has not been publicly disclosed as of the latest available data."",
  ""confidence"": 20,
  ""reasoning"": ""My knowledge cutoff is June 2024, and GSK's full-year 2024 financial results, including comprehensive income, are typically released after the fiscal year ends (often in early 2025). No official figures have been reported in the",,
689,openai/gpt-oss-120b,"{
  ""answer"": ""6,530,000,000.0"",
  ""confidence"": 99,
  ""reasoning"": ""The consolidated income statement for AstraZeneca",,,
115,openai/gpt-oss-120b,"{""answer"":""2.44"",""confidence"":95,""reasoning"":""The consolidated income statement for AstraZeneca in 2020 explicitly lists the Diluted Earnings Loss Per Share as 2.44, which directly answers the question.""}",,,
